Navn	Ministerpost	Start	Slut	parti
Manu Sareen	Minister for ligestilling, kirke, og nordisk samarbejde	12-12-13	03-02-14	Radikale Venstre
Christian Friis Bach	Minister for udviklingsbistand	03-10-11	21-11-13	Radikale Venstre
Rasmus Helveg Petersen	Minister for udviklingsbistand	21-11-13	03-02-14	Radikale Venstre
Helle Thorning-Schmidt	Statsminister	03-02-14	28-06-15	Socialdemokratiet
Margrethe Vestager	Økonomi- og indenrigsminister	03-02-14	02-09-14	Radikale Venstre
Morten Østergaard	Økonomi- og indenrigsminister	02-09-14	28-06-15	Radikale Venstre
Bjarne Corydon	Finansminister	03-02-14	28-06-15	Socialdemokratiet
Martin Lidegaard	Udenrigsminister	03-02-14	28-06-15	Radikale Venstre
Morten Østergaard	Skatteminister	03-02-14	02-09-14	Radikale Venstre
Benny Engelbrect	Skatteminister	02-09-14	28-06-15	Socialdemokratiet
Mette Frederiksen	Beskæftigelsesminister	03-02-14	10-10-14	Socialdemokratiet
Henrik Dam Kristensen	Beskæftigelsesminister	10-10-14	28-06-15	Socialdemokratiet
Karen Hækkerup	Justitsminister	03-02-14	10-10-14	Socialdemokratiet
Mette Frederiksen	Justitsminister	10-10-14	28-06-15	Socialdemokratiet
Sofie Carsten Nielsen	Uddanelses- og forskningsminister	03-02-14	28-06-15	Radikale Venstre
Marianne Jelved	Kulturminister, Kirkeminister	03-02-14	28-06-15	Radikale Venstre
Carsten Hansen	Minister for by, bolig og landdistrikter, minister for nordisk samarbejde	03-02-14	28-06-15	Socialdemokratiet
Christine Antorini	Undervisningsminister	03-02-14	28-06-15	Socialdemokratiet
Nick Hækkerup	Minister for sundhed og forebyggelse	03-02-14	28-06-15	Socialdemokratiet
Nicolai Wammen	Forsvarsminister	03-02-14	28-06-15	Socialdemokratiet
Manu Sareen	Minister for børn, ligestilling, integration og sociale forhold	03-02-14	28-06-15	Radikale Venstre
Henrik Sass Larsen	Ervhervs- og vækstminister	03-02-14	28-06-15	Socialdemokratiet
Rasmus Helveg Petersen	Klima- energi- og bygningsminister	03-02-14	28-06-15	Radikale Venstre
Dan Jørgensen	Minister for fødevarer, landbrug og fiskeri	03-02-14	28-06-15	Socialdemokratiet
Mogens Jensen	Handels- og udviklingsminister	03-02-14	28-06-15	Socialdemokratiet
Magnus Heunicke	Transportminister	03-02-14	28-06-15	Socialdemokratiet
Kirsten Brosbøl	Miljøminister	03-02-14	28-06-15	Socialdemokratiet
Lars Løkke Rasmussen	Statsminister	28-06-15	28-11-16	Venstre
Claus Hjort Frederiksen	Finansminister	28-06-15	28-11-16	Venstre
Kristian Jensen	Udenrigsminister	28-06-15	28-11-16	Venstre
Bertel Haarder	Kulturminister og kirkeminister	28-06-15	28-11-16	Venstre
Hans Christian Schmidt	Transport- og bygningsminister	28-06-15	28-11-16	Venstre
Troels Lund Poulsen	Ervhervs- og vækstminister	28-06-15	28-11-16	Venstre
Eva Kjer Hansen	Miljø- og fødevareminister	28-06-15	27-02-16	Venstre
Esben Lunde Larsen	Miljø- og fødevareminister	29-02-16	28-11-16	Venstre
Inger Støjberg	Udlændinge-, integrations- og boligminister	28-06-15	28-11-16	Venstre
Karen Ellemann	Social- og indenrigsminister	28-06-15	28-11-16	Venstre
Søren Pind	Justitsminister	28-06-15	28-11-16	Venstre
Lars Christian Lilleholt	Energi- forsynings- og klimaminister	28-06-15	28-11-16	Venstre
Ellen Trane Nørby	Minister for børn, undervisning og ligestilling	28-06-15	28-11-16	Venstre
Sophie Løhde	Sundheds- og ældreminister	28-06-15	28-11-16	Venstre
Karsten Lauritzen	Skatteminister	28-06-15	28-11-16	Venstre
Esben Lunde Larsen	Uddanelses- og forskningsminister	20-06-16	29-02-16	Venstre
Ulla Tørnæs	Uddanelses- og forskningsminister	29-02-16	28-11-16	Venstre
Carl Holst	Forsvarsminister, minister for nordisk samarbejde	28-06-15	30-09-15	Venstre
Peter Christensen	Forsvarsminister, minister for nordisk samarbejde	30-09-15	28-11-16	Venstre
Jørn Neergaard Larsen	Beskæftigelsesminister	28-06-15	28-11-16	Venstre
Lars Løkke Rasmussen	Statsminister	28-11-16	27-06-19	Venstre
Anders Samuelsen	Udenrigsminister	28-11-16	27-06-19	Liberal Alliance
Søren Pape Poulsen	Justitsminister	28-11-16	27-06-19	Konservative
Kristian Jensen	Finansminister	28-11-16	27-06-19	Venstre
Claus Hjort Frederiksen	Forsvarsminister	28-11-16	27-06-19	Venstre
Simon Emil Ammitzbøll	Økonomi- og indenrigsminister	28-11-16	27-06-19	Liberal Alliance
Mai Mercado	Børne- og socialminister	28-11-16	27-06-19	Konservative
Ulla Tørnæs	Minister for udviklingssamarbejde	28-11-16	27-06-19	Venstre
Troels Lund Poulsen	Beskæftigelsesminister	28-11-16	27-06-19	Venstre
Karen Ellemann	Minister for ligestilling, minister for norddisk samarbejde	28-11-16	02-05-18	Venstre
Eva Kjer Hansen	Minister for ligestilling, minister for norddisk samarbejde	02-05-18	27-06-19	Venstre
Inger Støjberg	Udlændinge- og integrationsminister	28-11-16	27-06-19	Venstre
Lars Christian Lilleholt	Energi- forsynings- og klimaminister	28-11-16	27-06-19	Venstre
Ellen Trane Nørby	Sundhedsminister	28-11-16	27-06-19	Venstre
Sophie Løhde	Minister for offentlig innovation	28-11-16	27-06-19	Venstre
Karsten Lauritzen	Skatteminister	28-11-16	27-06-19	Venstre
Merete Riisager	Undervisningsminister	28-11-16	27-06-19	Liberal Alliance
Mette Bock	Kulturminister, Kirkeminister	28-11-16	27-06-19	Liberal Alliance
Ole Birk Olesen	Transport-, bygnings- og boligminister	28-11-16	27-06-19	Liberal Alliance
Thyra Frank	Ældreminister	28-11-16	27-06-19	Liberal Alliance
Esben Lunde Larsen	Miljø- og fødevareminister	28-11-16	02-05-18	Venstre
Jakob Ellemann-Jensen	Miljø- og fødevareminister	02-05-18	27-05-19	Venstre
Søren Pind	Uddanelses- og forskningsminister	28-11-16	02-05-18	Venstre
Tommy Ahlers	Uddanelses- og forskningsminister	02-05-18	27-05-19	Uden for parti
Brian Mikkelsen	Erhvervsminister	28-11-16	21-06-18	Konservative
Rasmus Jarlov	Erhvervsminister	21-06-18	27-05-19	Konservative
