Samling;Nr;Titel;Dato;PDF;
19591;78;Referat af møde nr. 78 den 23. marts 1960 kl. 13:00;23-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M78/19591_M78_referat.pdf;
19591;77;Referat af møde nr. 77 den 22. marts 1960 kl. 14:00;22-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M77/19591_M77_referat.pdf;
19591;76;Referat af møde nr. 76 den 18. marts 1960 kl. 13:00;18-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M76/19591_M76_referat.pdf;
19591;75;Referat af møde nr. 75 den 17. marts 1960 kl. 13:00;17-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M75/19591_M75_referat.pdf;
19591;74;Referat af møde nr. 74 den 16. marts 1960 kl. 13:00;16-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M74/19591_M74_referat.pdf;
19591;73;Referat af møde nr. 73 den 15. marts 1960 kl. 14:00;15-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M73/19591_M73_referat.pdf;
19591;72;Referat af møde nr. 72 den 11. marts 1960 kl. 13:00;11-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M72/19591_M72_referat.pdf;
19591;71;Referat af møde nr. 71 den 10. marts 1960 kl. 13:00;10-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M71/19591_M71_referat.pdf;
19591;70;Referat af møde nr. 70 den 9. marts 1960 kl. 13:00;09-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M70/19591_M70_referat.pdf;
19591;69;Referat af møde nr. 69 den 8. marts 1960 kl. 14:00;08-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M69/19591_M69_referat.pdf;
19591;68;Referat af møde nr. 68 den 4. marts 1960 kl. 13:00;04-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M68/19591_M68_referat.pdf;
19591;67;Referat af møde nr. 67 den 3. marts 1960 kl. 13:00;03-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M67/19591_M67_referat.pdf;
19591;66;Referat af møde nr. 66 den 2. marts 1960 kl. 14:00;02-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M66/19591_M66_referat.pdf;
19591;65;Referat af møde nr. 65 den 2. marts 1960 kl. 09:00;02-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M65/19591_M65_referat.pdf;
19591;64;Referat af møde nr. 64 den 1. marts 1960 kl. 14:00;01-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M64/19591_M64_referat.pdf;
19591;63;Referat af møde nr. 63 den 26. februar 1960 kl. 10:00;26-02-1960;https://www.folketingstidende.dk/samling/19591/salen/M63/19591_M63_referat.pdf;
19591;62;Referat af møde nr. 62 den 25. februar 1960 kl. 13:00;25-02-1960;https://www.folketingstidende.dk/samling/19591/salen/M62/19591_M62_referat.pdf;
19591;61;Referat af møde nr. 61 den 24. februar 1960 kl. 13:00;24-02-1960;https://www.folketingstidende.dk/samling/19591/salen/M61/19591_M61_referat.pdf;
