split;reason;text;value
0;;"Tirsdag den 11. august 2020 (D)

1

Beretningen vil fremgå af www.folketingstidende.dk.
Klima-, Energi- og Forsyningsudvalget har afgivet:

139. møde

Beretning om klima-, energi- og forsyningsministerens manglende
efterlevelse af vedtagelse nr. V 56 om alternative drivmidler i trans‐
portsektoren efter 2020.
(Beretning nr. 5).";
368;Time;"Dagsorden
1) Meddelelser fra formanden

Beretningen vil fremgå af www.folketingstidende.dk.";kl. 13.00
471;Time;"Socialdemokratiets folketingsgruppe har meddelt mig, at den har
udpeget Birgitte Vind som medlem af Sydslesvigudvalget fra den 23.
juni 2020 i stedet for medlem af Folketinget Troels Ravn.";Kl. 12:59
698;title_name;":
Mødet er åbnet.";Karen Ellemann
725;Time;;Kl. 13:01
762;title_name;":
Der er ikke mere at foretage i dette møde.

Det eneste punkt på dagsordenen er:
1) Meddelelser fra formanden";Karen Ellemann
882;Time;;Kl. 13:00
919;title_name;":
I dag er der følgende anmeldelser:
Beskæftigelsesministeren (Peter Hummelgaard):
Lovforslag nr. L 207 (Forslag til lov om ændring af lov om forvalt‐
ning og administration af tilgodehavende feriemidler, SU-loven og
lov om Arbejdsmarkedets Tillægspension. (Førtidig udbetaling af
feriemidler og udvidelse af Arbejdsmarkedets Tillægspensions opga‐
vevaretagelse)) og
Lovforslag nr. L 208 (Forslag til lov om engangstilskud til modtage‐
re af forsørgelsesydelser).
Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk
(jf. ovenfor).
Kulturudvalget har afgivet:
Beretning om genåbning af tilskueradgang til fodbold.
(Beretning nr. 7).
Beretningen vil fremgå af www.folketingstidende.dk.
Europaudvalget har afgivet:
Beretning om regeringens håndtering af Italiens anmodning om
hjælp som følge af udbruddet af covid-19.
(Beretning nr. 6).

Folketingets næste møde afholdes i morgen, onsdag den 12. august
2020, kl. 10.00.
Jeg henviser til den dagsorden, der fremgår af Folketingets hjem‐
meside.
Mødet er hævet. (Kl. 13:01).";Karen Ellemann
