split;reason;text;value
0;;"Onsdag den 3. oktober 2018 (D)

1

Lovforslag nr. L 9 (Forslag til lov om ændring af lov om ægteskabs
indgåelse og opløsning og udlændingeloven. (Forbud mod proformaægteskab og Nationalt ID-centers rolle og funktioner m.v.)).

2. møde";
282;title_name;:;Troels Lund Poulsen
321;Time;"Lovforslag nr. L 10 (Forslag til lov om ændring af lov om brug af
køberet eller tegningsret til aktier m.v. i ansættelsesforhold. (Udvidelse af aftalefriheden i optionsordninger)),

Dagsorden
1) Valg af stående udvalg m.v.";kl. 13.00
556;Time;Meddelelser fra formanden;Kl. 13:00
610;title_name;":
Mødet er åbnet.
Jeg skal lige sige, at når salen er så tom, som den er nu, og jeg står
og læser op her, er det, fordi alt, hvad vi gør her i Folketinget vedrørende lovforslag og andre ting, skal bogføres, og man skal gøre det
fra formandsstolen. Sådan er det. Så det er ikke, fordi medlemmerne
er uinteresserede, men det er procedure i dag.
I dag er der følgende anmeldelser, og da der er mange fremsættelser,
skal jeg undlade at læse titlerne op. Jeg nævner alene numrene.";Pia Kjærsgaard
1130;title_name;":
Lovforslag nr. L 4 (Forslag til lov om ændring af værnepligtsloven.
(Fritagelse for værnepligtstjeneste for visse personer, der er blevet
udskrevet til tjeneste før 2010)) og
Lovforslag nr. L 5 (Forslag til lov om ændring af lov om forsvarets
personel. (Udvidelse af ordninger om pensionslignende ydelse og
kulancemæssig godtgørelse for svie og smerte for udsendt personel)).";Claus Hjort Frederiksen
1548;title_name;":
Lovforslag nr. L 6 (Forslag til lov om ændring af dagtilbudsloven.
(Bedre fordeling i daginstitutioner)),
Lovforslag nr. L 7 (Forslag til lov om ændring af dagtilbudsloven og
lov om en børne- og ungeydelse. (Obligatorisk læringstilbud til 1årige børn i udsatte boligområder)),
Lovforslag nr. L 8 (Forslag til lov om ændring af lov om social service, lov om socialtilsyn, lov om voksenansvar for anbragte børn og
unge og ligningsloven. (Mere kvalitet i plejefamilier)) og

Lovforslag nr. L 11 (Forslag til lov om ændring af lov om Lønmodtagernes Garantifond. (Overdragelse af krav til Lønmodtagernes Garantifond ved tvivl om virksomhedsoverdragelse forud for konkurs
m.v.)),
Lovforslag nr. L 12 (Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v. (Dagpenge efter udløb af retten til supplerende dagpenge i et månedsbaseret dagpengesystem, periodisering af
indkomst til opfyldelse af indkomstkravet, undtagelse for opfølgning
på visse sager efter samkøring af oplysning om løntimer m.m.)) og
Lovforslag nr. L 13 (Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v., lov om sygedagpenge og barselsloven. (Opholdskrav for ret til arbejdsløshedsdagpenge m.v.)).
Økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille):
Lovforslag nr. L 14 (Forslag til lov om ændring af lov om kommunernes styrelse. (Ghettorepræsentanter)) og
Lovforslag nr. L 15 (Forslag til lov om ændring af lov om valg til
Folketinget, lov om kommunale og regionale valg, lov om valg af
danske medlemmer til Europa-Parlamentet, partiregnskabsloven og
lov om kommunernes styrelse. (Ændring af antallet af danske medlemmer af Europa-Parlamentet, forbud mod ens listebetegnelser,
valgret til Europa-Parlamentsvalg til udlandsdanskere under værgemål med fratagelse af den retlige handleevne, sikring af udøvelsen af
herboende EU-statsborgeres valgret og valgbarhed fra bopælstidspunktet, lovfæstelse af en særlig vederlagsordning for stedfortrædere
i kommunalbestyrelsen og regionsrådet m.v.)).
Uddannelses- og forskningsministeren (Tommy Ahlers):
Lovforslag nr. L 16 (Forslag til lov om ændring af lov om befordringsrabat til studerende ved videregående uddannelser, lov om befordringsrabat til uddannelsessøgende i ungdomsuddannelser m.v.
og lov om Udbetaling Danmark. (Målretning af befordringsrabat og
godtgørelse efter en kilometersats, hjemmel til at kræve for meget
modtaget godtgørelse tilbagebetalt m.v.)).";Mai Mercado
4002;title_name;":

2

Onsdag den 3. oktober 2018 (FM )

Lovforslag nr. L 17 (Forslag til lov om ændring af retsplejeloven og
straffeloven. (Tilfældighedsfund som bevis i sager om opløsning af
en forening m.v.)),

med et socialt frikort. (Afbureaukratisering af forskerskatteordningen, genoptagelse af afgørelser om skattenedslag, skattefrihed for
godtgørelse til thalidomidofre m.v.)),

Lovforslag nr. L 18 (Forslag til lov om ændring af retsplejeloven og
lov om fuldbyrdelse af straf m.v. (Initiativer vedrørende forsvarsadvokater og advokattilsyn)),

Lovforslag nr. L 31 (Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Armenien),

Lovforslag nr. L 19 (Forslag til lov om ændring af kriminallov og
retsplejelov for Grønland. (Anbringelse af forvaringsdømte m.v.)),

Lovforslag nr. L 32 (Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Japan),

Lovforslag nr. L 20 (Forslag til lov om ændring af straffeloven, retsplejeloven, erstatningsansvarsloven og medieansvarsloven. (Fredsog ærekrænkelser m.v.)),
Lovforslag nr. L 21 (Forslag til lov om ændring af lov om fuldbyrdelse af straf m.v., retsplejeloven, straffeloven og lov om folkeskolen. (Forhold for indsatte i kriminalforsorgens institutioner, varetægtssurrogat m.v.)) og
Lovforslag nr. L 22 (Forslag til lov om ændring af straffeloven, pasloven og politiloven. (Initiativer mod parallelsamfund)).
Energi-, forsynings- og klimaministeren (Lars Christian Lilleholt):

Lovforslag nr. L 33 (Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og
Nederlandene) og
Lovforslag nr. L 34 (Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomst mellem de nordiske lande).
Kulturministeren (Mette Bock):
Lovforslag nr. L 35 (Forslag til lov om ændring af lov om folkehøjskoler. (Tilladelse til at fravige lovens krav om gennemførelse af
lange kurser (seniorhøjskoler) m.v.)),

Lovforslag nr. L 23 (Forslag til lov om ændring af lov om elektroniske kommunikationsnet og -tjenester. (Kommuners tilskud til udrulning af elektroniske kommunikationsnet, tildeling af koder til Machine-to-Machine (M2M)) kommunikation og ophævelse af regler
om Bredbåndsgarantiordningen)) og

Lovforslag nr. L 36 (Forslag til lov om ændring af lov om radio- og
fjernsynsvirksomhed, personskatteloven, lov om social pension og
forskellige andre love. (Gennemførelse af aftale om fokusering af
DR og afskaffelse af medielicensen m.v.)) og

Lovforslag nr. L 24 (Forslag til lov om supplerende bestemmelser til
forordning om opstilling af rammer for energimærkning m.v. (produktenergimærkningsloven).

Lovforslag nr. L 37 (Forslag til lov om ændring af lov om radio- og
fjernsynsvirksomhed. (Gennemførelse af dele af medieaftalen for
2019-2023 m.v.)).";Søren Pape Poulsen
6889;title_name;":

Transport-, bygnings- og boligministeren (Ole Birk Olesen):

Lovforslag nr. L 25 (Forslag til lov om ændring af kildeskatteloven
og forskellige andre love. (Initiativer mod sort arbejde m.v.)),

Lovforslag nr. L 38 (Forslag til lov om ændring af lov om almene
boliger m.v., lov om leje af almene boliger og lov om leje. (Nye kriterier for udsatte boligområder og ghettoområder, initiativer til udvikling eller afvikling af ghettoområder, skærpelse af anvisnings- og
udlejningsregler, ophævelse af lejekontrakt på grund af kriminalitet
m.v.)),

Lovforslag nr. L 26 (Forslag til Aktiesparekontolov),
Lovforslag nr. L 27 (Forslag til lov om ændring af fondsbeskatningsloven og ligningsloven. (Mere robuste skatteregler for trusts som opfølgning på Skattelovrådets rapport)),
Lovforslag nr. L 28 (Forslag til lov om ændring af selskabsskatteloven, lov om ophævelse af dobbeltbeskatning i forbindelse med regulering af forbundne foretagenders overskud (EF-voldgiftskonventionen), momsloven og forskellige andre love. (Implementering af direktivet om skatteundgåelse og direktivet om skattetvistbilæggelse
og forskellige ændringer af momssystemdirektivet)),
Lovforslag nr. L 29 (Forslag til lov om ændring af emballageafgiftsloven, lov om registrering af køretøjer og forskellige andre love og
om ophævelse af pvc-afgiftsloven og lov om tilskud til visse miljøvenlige lastbiler. (Ophævelse af pvc-afgiften og emballageafgiften
på pvc-folier, indførelse af bagatelgrænser i visse afgiftslove, udvidelse af bemyndigelsesbestemmelsen for terminaladgang til Køretøjsregistret, undtagelse for udligningsafgift for visse påhængskøretøjer, udskydelse af tidspunkt for offentliggørelse og anvendelse af
standardkontrakter ved leasing m.v.)),
Lovforslag nr. L 30 (Forslag til lov om ændring af kildeskatteloven,
ligningsloven, lov om skattenedslag for seniorer og lov om forsøg

Lovforslag nr. L 39 (Forslag til lov om ændring af lov om almene
boliger m.v. (Anvendelse af Landsbyggefondens midler og Landsbyggefondens refusion af ydelsesstøtte)),
Lovforslag nr. L 40 (Forslag til lov om ændring af færdselsloven.
(Forhøjelse af bøde for parkering på ramper, forhøjelse af parkeringsafgifter for store køretøjer, Færdselsstyrelsens mulighed for
overtagelse af parkeringskontrollen og ændring af klagemyndighed)),
Lovforslag nr. L 41 (Forslag til lov om ændring af lov om Metroselskabet I/S og Udviklingsselskabet By & Havn I/S. (Ny arealinddeling og arealanvendelse i Københavns Ydre Nordhavn)),
Lovforslag nr. L 42 (Forslag til lov om ændring af færdselsloven.
(Klip i kørekortet for benyttelse af håndholdt teleudstyr og andre
håndholdte kommunikationsapparater under kørsel m.v.)),
Lovforslag nr. L 43 (Forslag til lov om ændring af lov om letbane på
Ring 3 og lov om Metroselskabet I/S og Udviklingsselskabet By &

Onsdag den 3. oktober 2018 (FM )

Havn I/S. (Transport-, bygnings- og boligministerens udtræden af
Hovedstadens Letbane I/S)),
Lovforslag nr. L 44 (Forslag til lov om ændring af lov om trafikselskaber. (Overdragelse af statens praktiske trafikkøberansvar for øresundstogtrafikken til Skånetrafiken)),
Lovforslag nr. L 45 (Forslag til lov om ændring af jernbanelov. (Master til brug for mobil- og internetdækning i tog)) og
Lovforslag nr. L 46 (Forslag til lov om ændring af lov om en Cityring og lov om Metroselskabet I/S og Udviklingsselskabet By &
Havn I/S. (Udvikling af området ved Ny Ellebjerg Station)).";Karsten Lauritzen
10340;title_name;":
Lovforslag nr. L 47 (Forslag til lov om ændring af lov om finansiel
virksomhed, lov om forebyggende foranstaltninger mod hvidvask og
finansiering af terrorisme (hvidvaskloven), lov om kapitalmarkeder
og forskellige andre love. (Skærpelse af hvidvaskreglerne, gennemførelse af anbefalingerne fra arbejdsgruppen for eftersyn af den finansielle regulering og ændring af reglerne for udpegning af SIFI’er
i Danmark)),
Lovforslag nr. L 48 (Forslag til lov om elektronisk fakturering ved
offentlige udbud),
Lovforslag nr. L 49 (Forslag til lov om ændring af varemærkeloven
og forskellige andre love og om ophævelse af fællesmærkeloven.
(Behandling af ansøgninger, registreringshindringer, gengivelse af
varemærker, varer i transit, overførsel af gebyrindtægter m.v.)),
Lovforslag nr. L 50 (Forslag til lov om ændring af lov om Dansk Internationalt Skibsregister. (Overenskomstdækning ved offshore-aktiviteter på skibe på dansk søterritorium og kontinentalsokkelområde))
og
Lovforslag nr. L 51 (Forslag til lov om ændring af lov om planlægning og lov om maritim fysisk planlægning. (Strategisk planlægning
for landsbyer, planlægning i områder belastet af lugt, støv eller anden luftforurening, helårsbeboelse i sommerhuse på Læsø, ekspropriation til virkeliggørelse af lokalplaner, havplanlægning for transportinfrastruktur m.v.)).

3

Beslutningsforslag nr. B 5 (Forslag til folketingsbeslutning om indførelse af straksforbud mod salg og anvendelse af sprøjtegifte med
aktivstofferne pendimethalin, bromoxynil og fluroxypyr).";Rasmus Jarlov
