split;reason;text;value
0;;"Torsdag den 4. juli 2019 (D)

1

rende funktionsperiode i stedet for Pelle Dragsted, som er udtrådt af
Folketinget.

4. møde

Socialdemokratiets folketingsgruppe har meddelt mig, at den til
Danmarks Nationalbanks Repræsentantskab har udpeget medlemmer
af Folketinget Jesper Petersen og Flemming Møller Mortensen som
medlemmer for den resterende del af indeværende funktionsperiode i
stedet for Nicolai Wammen og Morten Bødskov, der er udpeget til
ministre.";
492;Time;"Dagsorden
1) Valg af stående udvalg m.v.";kl. 13.00
544;Time;"Meddelelser fra formanden
Den fungerende formand (Erling Bonnesen) :
Mødet er åbnet.
Der i dag følgende anmeldelser:
Socialdemokratiets folketingsgruppe har meddelt mig, at den med
virkning fra den 1. juli 2019 har udpeget medlem af Folketinget
Flemming Møller Mortensen som stedfortræder for statsrevisorerne
for den resterende del af indeværende funktionsperiode i stedet for
medlem af Folketinget Dan Jørgensen, da denne er blevet udnævnt
til minister.
Den pågældende er herefter valgt.

Endvidere har Radikale Venstres folketingsgruppe meddelt mig, at
den til Danmarks Nationalbanks Repræsentantskab har udpeget
medlem af Folketinget Morten Østergaard som medlem for den resterende del af indeværende funktionsperiode i stedet for Christian
Poll, der er udtrådt af Folketinget.
De pågældende er herefter valgt.
Socialdemokratiets folketingsgruppe har meddelt mig, at den har udpeget medlem af Folketinget Jeppe Bruus som medlem af Tilsynsrådet vedrørende beskæftigelsen af de indsatte i Kriminalforsorgens
institutioner for den resterende del af indeværende funktionsperiode
i stedet for Karen J. Klint.
Den pågældende er herefter valgt.
Medlem af Folketinget Benny Engelbrecht (S) har anmodet om at
blive fritaget for hvervet som tingsekretær. Hvis ingen gør indsigelse, betragter jeg Tingets samtykke som givet.
Det er givet.

Enhedslistens folketingsgruppe har meddelt mig, at medlem af Folketinget Jette Gottlieb er udpeget som medlem af Lønningsrådet i
stedet for Finn Sørensen for den resterende del af indeværende funktionsperiode.

Til at indtræde i hvervet som tingsekretær i stedet for Benny Engelbrecht har vedkommende gruppe udpeget Annette Lind (S), der herefter er valgt.

Den socialdemokratiske folketingsgruppe har meddelt mig, at medlem af Folketinget Flemming Møller Mortensen er udpeget som
medlem af Lønningsrådet i stedet for Karen J. Klint for den resterende del af indeværende funktionsperiode.

Skriftlige meddelelser fra formanden

De pågældende er herefter valgt.
Socialdemokratiets folketingsgruppe har meddelt mig, at den til bestyrelsen for Institut for Flerpartisamarbejde har udpeget medlemmer af Folketinget Kasper Sand Kjær og Daniel Toft Jakobsen pr. 3.
juli 2017 i stedet for Mogens Jensen og Peter Hummelgaard Thomsen.
De pågældende er herefter valgt.
Enhedslistens folketingsgruppe har meddelt mig, at den til Danmarks Nationalbanks Repræsentantskab har udpeget medlem af Folketinget Rune Lund som medlem for den resterende del af indevæ-";Kl. 13:00
3036;Time;"Fra statsministeren har jeg modtaget følgende skrivelse af 27. juni
2019:
»Folketingets formand
Efter min indstilling er det ved kongelig resolution af 27. juni 2019
besluttet
at udnævne undertegnede forhenværende minister, medlem af Folketinget Mette Frederiksen til statsminister,
at afskedige i nåde
statsminister Lars Løkke Rasmussen, Kommandør af 1. grad af Dannebrogordenen,

2

Torsdag den 4. juli 2019 (FM )

udenrigsminister Anders Samuelsen, Kommandør af Dannebrogordenen,
justitsminister Søren Pape Poulsen, Kommandør af Dannebrogordenen,
finansminister Kristian Jensen, Kommandør af Dannebrogordenen,
forsvarsminister Claus Hjort Frederiksen,
økonomi- og indenrigsminister Simon Emil Ammitzbøll-Bille, Ridder af Dannebrogordenen,
børne- og socialminister Mai Mercado,
minister for udviklingssamarbejde Ulla Tørnæs, Kommandør af 1.
grad af Dannebrogordenen,
beskæftigelsesminister Troels Lund Poulsen, Kommandør af Dannebrogordenen,
minister for fiskeri og ligestilling og minister for nordisk samarbejde
Eva Kjer Hansen, Kommandør af Dannebrogordenen,
udlændinge- og integrationsminister Inger Støjberg, Kommandør af
Dannebrogordenen,
energi-, forsynings- og klimaminister Lars Christian Lilleholt, Kommandør af Dannebrogordenen,
sundhedsminister Ellen Trane Nørby, Kommandør af Dannebrogordenen,
minister for offentlig innovation Sophie Løhde Jacobsen, Kommandør af Dannebrogordenen,
skatteminister Karsten Styrbæk Lauritzen, Kommandør af Dannebrogordenen,
undervisningsminister Merete Riisager Andersen,
kulturminister og kirkeminister Mette Bock,
transport-, bygnings- og boligminister Ole Birk Olesen,
ældreminister Thyra Frank, Ridder af Dannebrogordenen,
miljø- og fødevareminister Jakob Ellemann-Jensen,
uddannelses- og forskningsminister Tommy Ahlers og
erhvervsminister Rasmus Jarlov
fra de dem hidtil betroede ministerstillinger,
at bestemme
at ressortansvaret for sager vedrørende indsatsen mod parallelsamfund, herunder ghettorepræsentanter og parallelsamfundsredegørelse, overføres fra Økonomi- og Indenrigsministeriet til Transport-,
Bygnings- og Boligministeriet,
at bestemme
at ressortansvaret for ligestillingsafdelingen med tilhørende sagsområder, herunder den koordinerende funktion på LGBTI-området,
bortset fra sager vedrørende Danmarks kandidatur til FN’s Menneskerettighedsråd i 2019-2021, samt ressortansvaret for sager vedrørende fiskeri overføres fra Udenrigsministeriet til Miljø- og Fødevareministeriet,
at bestemme
at ressortansvaret for sager vedrørende dagtilbud og private pasningsordninger til børn indtil skolestart overføres fra Børne- og Socialministeriet til Undervisningsministeriet,
at bestemme
at Økonomi- og Indenrigsministeriet og Børne- og Socialministeriet
sammenlægges til et Social- og Indenrigsministerium, dog således at
ressortansvaret for sager vedrørende udarbejdelse af konjunkturovervågning og vurdering, statistik, bortset fra Danmarks Statistik, De
Økonomiske Råd og Danmarks Nationale Reformprogram, sager vedrørende udgivelse af Økonomisk Redegørelse, konvergensprogrammer og publikationen Fordeling og Incitamenter samt sager vedrørende lovmodellen overføres fra det hidtidige Økonomi- og Indenrigsministerium til Finansministeriet, at ressortansvaret for den russiske begravelsesplads på Bornholm overføres fra det hidtidige Økonomi- og Indenrigsministerium til Kirkeministeriet, og at ressortan-

svaret for Kommunekredit overføres fra det hidtidige Økonomi- og
Indenrigsministerium til Erhvervsministeriet,
at bestemme
at betegnelsen for Tranport-, Bygnings- og Boligministeriet ændres
til Transport- og Boligministeriet,
at bestemme
at betegnelsen for Undervisningsministeriet ændres til Børne- og
Undervisningsministeriet,
at bestemme
at betegnelsen for Energi-, Forsynings- og Klimaministeriet ændres
til Klima-, Energi- og Forsyningsministeriet,
at udnævne
forhenværende minister, medlem af Folketinget Nicolai Halby
Wammen til finansminister,
medlem af Europa-Parlamentet Jeppe Sebastian Kofod til udenrigsminister,
forhenværende minister, medlem af Folketinget Nick Hækkerup til
justitsminister,
forhenværende minister, medlem af Folketinget Astrid Krag Kristensen til social- og indenrigsminister,
forhenværende minister, medlem af Folketinget Morten Bødskov til
skatteminister,
forhenværende minister, medlem af Folketinget Dan Jannik Jørgensen til klima-, energi- og forsyningsminister,
forhenværende minister, medlem af Folketinget Mogens Jensen til
minister for fødevarer, fiskeri og ligestilling og minister for nordisk
samarbejde,
at bestemme
at følgende områder henlægges til ministeren for fødevarer, fiskeri
og ligestilling: sager vedrørende landbrug, herunder økologi, fødevaresikkerhed, fødevaresundhed og fødevareforsyning, dyrevelfærd,
inklusive de til områderne hørende institutioner m.v., sager vedrørende ligestilling samt sager vedrørende fiskeri,
at bestemme
at den departementale ekspedition af sager vedrørende disse forretningsområder sker i Miljø- og Fødevareministeriet under ledelse af
ministeren for fødevarer, fiskeri og ligestilling og på dennes ansvar,
at bestemme
at de øvrige under Miljø- og Fødevareministeriet hørende områder
henhører under miljøministerens ledelse og ansvar,
at udnævne
forhenværende minister, medlem af Folketinget Magnus Johannes
Heunicke til sundheds- og ældreminister,
forhenværende minister, medlem af Folketinget Benny Sørensen Engelbrecht til transportminister,
medlem af Folketinget Rasmus Prehn til minister for udviklingssamarbejde,
at bestemme
at følgende områder henlægges til ministeren for udviklingssamarbejde: sager vedrørende såvel multilateralt som bilateralt udviklingssamarbejde, herunder bistand til Palæstina, Naboskabsprogrammet
målrettet EU’s nabolande mod øst og sydøst, Det Dansk-Arabiske
Partnerskabsinitiativ samt Freds- og Stabiliseringsfonden,
at bestemme

Torsdag den 4. juli 2019 (FM )

at den departementale ekspedition af sager vedrørende disse forretningsområder sker i Udenrigsministeriet under ledelse af ministeren
for udviklingssamarbejde og på dennes ansvar,
at bestemme
at de øvrige under Udenrigsministeriet hørende områder henhører
under udenrigsministerens ledelse og ansvar,
at udnævne
medlem af Folketinget Pernille Rosenkrantz-Theil til børne- og undervisningsminister,
medlem af Folketinget Trine Bramsen til forsvarsminister,
medlem af Folketinget Ane Halsboe-Jørgensen til uddannelses- og
forskningsminister,
medlem af Folketinget Simon Monrad Kollerup til erhvervsminister,
medlem af Folketinget Mattias Tesfaye til udlændinge- og integrationsminister,
medlem af Folketinget Peter Hummelgaard Thomsen til beskæftigelsesminister,
medlem af Folketinget Kaare Dybvad Bek til boligminister,
at bestemme
at følgende områder henlægges til boligministeren: sager vedrørende
ældreboliger, almene boliger, studie- og ungdomsboliger, friplejeboliger, privat udlejning og byfornyelse, sager vedrørende pulje til
landsbyfornyelse, sager vedrørende byggeri m.v., herunder byggeloven og bygningsreglementet, inklusive de til områderne hørende institutioner m.v., samt sager vedrørende indsatsen mod parallelsamfund, herunder ghettorepræsentanter og parallelsamfundsredegørelse,
at bestemme
at den departementale ekspedition af sager vedrørende disse forretningsområder sker i Transport- og Boligministeriet under ledelse af
boligministeren og på dennes ansvar,
at bestemme
at de øvrige under Transport- og Boligministeriet hørende områder
henhører under transportministerens ledelse og ansvar,
at udnævne
medlem af Folketinget Lea Wermelin til miljøminister og
borgmester Joy Mogensen til kulturminister og kirkeminister,
at bestemme
at de under den hidtidige minister for offentlig innovation hørende
områder henlægges til finansministeren,
at bestemme
at de under den hidtidige ældreminister hørende områder henlægges
til sundheds- og ældreministeren,
at bestemme
at ressortansvaret for overenskomstforhandlinger, løn, pension, ledelse og personale overføres fra Finansministeriet til Skatteministeriet og
at bestemme
at sager vedrørende koordinering af implementering af erhvervsrettet
EU-lovgivning overføres fra Beskæftigelsesministeriet til Erhvervsministeriet.
Jeg tillader mig at anmode formanden om at underrette Folketinget
herom.

3

Sign: Mette Frederiksen
/Carsten Madsen«

Det eneste punkt på dagsordenen er:
1) Valg af stående udvalg m.v.";Kl. 13:03
11370;Time;"Den fungerende formand (Erling Bonnesen) :
Til disse valg er anmeldt følgende valggrupper:
en gruppe på 99 medlemmer: Socialdemokratiet, Radikale Venstre, Socialistisk Folkeparti, Enhedslisten, Alternativet, Inuit Ataqatigiit, Siumut og Javnaðarflokkurin:
en gruppe på 80 medlemmer: Venstre, Dansk Folkeparti, Det
Konservative Folkeparti, Nye Borgerlige, Liberal Alliance og Sambandsflokkurin.
Der foreligger indstilling fra grupperne om disse valg.
Det skal bemærkes, at der til Sydslesvigudvalget vælges 7 medlemmer, og ikke som det fremgår af dagsordenen, 5 medlemmer.
Navnene på de valgte kan findes på Folketingets hjemmeside og
på www.folketingstidende.dk (jf. nedenfor).
Samtidig er der fra grupperne fremkommet forslag om valg af
formand og næstformand. Der er kun bragt én i forslag til hver af
disse poster, og navnene er optaget i Folketingstidende.
[Valg af 29 medlemmer til Beskæftigelsesudvalget.
Valgt blev:
1 Bjørn Brandenborg (S)
2 Bjarne Laustsen (S)
3 Jan Johansen (S)
4 Jens Joel (S)
5 Jeppe Bruus (S)
6 Kasper Sand Kjær (S)
7 Leif Lahn Jensen (S)
8 Lennart Damsbo-Andersen (S)
9 Samira Nawa (RV)
10 Lotte Rod (RV)
11 Karsten Hønge (SF)
12 Halime Oguz (SF)
13 Jette Gottlieb (EL)
14 Victoria Velasquez (EL)
15 Christian Juhl (EL)
16 Torsten Gejl (ALT)
17 Hans Andersen (V)
18 Peter Juel-Jensen (V)
19 Louise Schack Elholm (V)
20 Kristian Jensen (V)
21 Anni Matthiesen (V)
22 Martin Geertsen (V)
23 Bent Bøgsted (DF)
24 Jens Henrik Thulesen Dahl (DF)
25 Dennis Flydtkjær (DF)
26 Naser Khader (KF)
27 Birgitte Bergman (KF)
28 Lars Boje Mathiesen (NB)
29 Alex Vanopslagh (LA)";Kl. 13:03
12974;title_name;Kasper Sand Kjær (S);Formand
13008;title_name;"Hans Andersen (V)
Valg af 29 medlemmer til Børne- og Undervisningsudvalget.

4

Valgt blev:
1 Anders Kronborg (S)
2 Camilla Fabricius (S)
3 Jens Joel (S)
4 Jesper Petersen (S)
5 Julie Skovsby (S)
6 Kasper Sand Kjær (S)
7 Orla Hav (S)
8 Lotte Rod (RV)
9 Anne Sophie Callesen (RV)
10 Marianne Jelved (RV)
11 Jacob Mark (SF)
12 Ina Strøjer-Schmidt (SF)
13 Astrid Carøe (SF)
14 Jakob Sølvhøj (EL)
15 Mai Villadsen (EL)
16 Torsten Gejl (ALT)
17 Anni Matthiesen (V)
18 Peter Juel-Jensen (V)
19 Jan E. Jørgensen (V)
20 Louise Schack Elholm (V)
21 Britt Bager (V)
22 Jane Heitmann (V)
23 Jens Henrik Thulesen Dahl (DF)
24 Karina Adsbøl (DF)
25 Marie Krarup (DF)
26 Brigitte Klintskov Jerkel (KF)
27 Mai Mercado (KF)
28 Mette Thiesen (NB)
29 Henrik Dahl (LA)";Næstformand
13768;title_name;Anders Kronborg (S);Formand
13801;title_name;"Anni Matthiesen (V)
Valg af 29 medlemmer til Erhvervsudvalget.
Valgt blev:
1 Birgitte Vind (S)
2 Bjørn Brandenborg (S)
3 Camilla Fabricius (S)
4 Henrik Sass Larsen (S)
5 Henrik Møller (S)
6 Kasper Roug (S)
7 Malte Larsen (S)
8 Orla Hav (S)
9 Rasmus Stoklund (S)
10 Katrine Robsøe (RV)
11 Ida Auken (RV)
12 Lisbeth Bech Poulsen (SF)
13 Ina Strøjer-Schmidt (SF)
14 Victoria Velasquez (EL)
15 Rune Lund (EL)
16 Uffe Elbæk (ALT)
17 Torsten Schack Pedersen (V)
18 Preben Bang Henriksen (V)
19 Louise Schack Elholm (V)
20 Jacob Jensen (V)
21 Erling Bonnesen (V)
22 Jane Heitmann (V)
23 Karen Ellemann (V)
24 Hans Kristian Skibby (DF)
25 Dennis Flydtkjær (DF)
26 Mona Juul (KF)

Torsdag den 4. juli 2019 (FM )

27 Niels Flemming Hansen (KF)
28 Rasmus Jarlov (KF)
29 Alex Vanopslagh (LA)";Næstformand
14590;title_name;Torsten Schack Pedersen (V);Formand
