split;reason;text;value
0;;"Onsdag den 2. oktober 2013 (D)

1

kedsføring og brug af udgangsstoffer til eksplosivstoffer, bemyndigelsesbestemmelser vedrørende sådanne stoffer samt militærets og
politiets udførsel af våben m.v.)),

2. møde";
247;Time;"Lovforslag nr. L 10 (Forslag til lov om ændring af medieansvarsloven. (Forlængelse af klagefrist og opbevaringsperiode)),

Dagsorden

Lovforslag nr. L 11 (Forslag til lov om ændring af udlændingeloven
og kildeskatteloven. (Udvidet adgang til registersamkøring, bemyndigelse til at fastsætte regler om anvendelse af ansøgningsskema eller en digital ansøgningsløsning, ændring af reglerne om opsættende
virkning i sager om humanitært ophold, eftersøgning af familiemæssigt netværk, overførsel af klagesager fra Justitsministeriet til Udlændingenævnet m.v.)),

1) Valg af stående udvalg m.v.";kl. 13.00
848;Time;Meddelelser fra formanden;Kl. 13:00
887;title_name;"Mødet er åbnet.
I dag er der følgende meddelelser:";Formanden
982;title_name;":
Lovforslag nr. L 2 (Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v. (Beregning af skattefri præmie til fuldtidsbeskæftigede)).
Skatteministeren (Holger K. Nielsen):
Lovforslag nr. L 4 (Forslag til lov om ændring af fusionsskatteloven,
selskabsskatteloven, ejendomsværdiskatteloven og forskellige andre
love. (Skattefri omstrukturering med deltagelse af selskaber hjemmehørende i EØS-lande, skattefri sammenlægning af vandforsyninger og nedslag for ejendomsværdiskatten m.v.)).";Mette Frederiksen
1514;title_name;":
Lovforslag nr. L 5 (Forslag til lov om statsborgerskabsprøve),
Lovforslag nr. L 6 (Forslag til lov om ændring af udlændingeloven.
(Revision af visumregler, akkrediteringsordning for udenlandske
virksomheder, justering af karensregler, afslagskompetence til danske repræsentationer, beregning af kortvarige ophold m.v.)),
Lovforslag nr. L 7 (Forslag til lov om ændring af udlændingeloven.
(Gennemførelse af den reviderede Dublinforordning af 26. juni
2013)),
Lovforslag nr. L 8 (Forslag til lov om ændring af lov om straffeloven. (Forhøjet strafferamme for grov dopingkriminalitet)),
Lovforslag nr. L 9 (Forslag til lov om ændring af lov om våben og
eksplosivstoffer. (Sanktioner for overtrædelse af forordning om mar-

Lovforslag nr. L 12 (Forslag til lov om ændring af forældelsesloven.
(Forældelse af udestående selskabsindskud)) og
Lovforslag nr. L 13 (Forslag til lov om ændring af forvaltningsloven,
lov om Politiets Efterretningstjeneste (PET) og lov om Forsvarets
Efterretningstjeneste (FE). (Krav om identifikation m.v. i afgørelsessager og adgang til aktindsigt i PETs sager om administrative forhold)).
Social-, børne- og integrationsminister (Annette Vilhelmsen):
Lovforslag nr. L 14 (Forslag til lov om ændring af lov om social service. (Rådgivning og handleplaner til voksne udsat for æresrelaterede konflikter)),
Lovforslag nr. L 15 (Forslag til lov om ændring af lov om social service og lov om retssikkerhed og administration på det sociale område. (Mulighed for opretholdelse af anbringelse af unge med funktionsnedsættelse i alderen 18 til 22 år og ændring af reglerne om ansvaret for at sikre supervision og efteruddannelse til plejefamilier
m.v.)) og
Lovforslag nr. L 16 (Forslag til lov om ændring af lov for Grønland
om børns retsstilling og arvelov for Grønland. (Fastslåelse af faderskab til børn født uden for ægteskab før ikrafttræden af lov for Grønland om børns retsstilling m.v.)).
Ministeren for forskning, innovation og videregående uddannelser
(Morten Østergaard):
Lovforslag nr. L 17 (Forslag til lov om ændring af lov om professionshøjskoler for videregående uddannelser og lov om Danmarks
Evalueringsinstitut og om ophævelse af lov om uddannelsen til professionsbachelor som pædagog. (Ændringer som følge af ny pædagoguddannelse)).
Kulturministeren (Marianne Jelved):

2

Onsdag den 2. oktober 2013 (FM )

Lovforslag nr. L 18 (Forslag til lov om ændring af lov om visse foranstaltninger imod tyveri fra det kgl. bibliotek. (Udvidelse af visitationsadgang til visse statslige og statsanerkendte kulturarvsinstitutioner med publikumsadgang til samlingerne)),

Jan E. Jørgensen (V) m.fl.:

Lovforslag nr. L 19 (Forslag til lov om ændring af lov om film. (Bemyndigelse til at fastsætte regler om kommunalt tilskud til biografvirksomhed)),

Johanne Schmidt-Nielsen (EL) m.fl.:

Lovforslag nr. L 20 (Forslag til lov om mediestøtte) og
Lovforslag nr. L 21 (Forslag til lov om folkehøjskoler).
Erhvervs- og vækstministeren (Henrik Sass Larsen):
Lovforslag nr. L 22 (Forslag til lov om en fælles patentdomstol m.v.)
og
Lovforslag nr. L 23 (Forslag til lov om ændring af årsregnskabsloven, selskabsloven og forskellige andre love. (Årsrapporter på engelsk, regler om den kønsmæssige sammensætning af ledelsen og redegørelse for samfundsansvar)).
Økonomi- og indenrigsministeren (Margrethe Vestager):
Lovforslag nr. L 24 (Forslag til lov om ændring af lov om valg af
danske medlemmer til Europa-Parlamentet). (Erklæring om valgbarhed m.v.)) og
Lovforslag nr. L 25 (Forslag til lov om ændring af lov om kommunernes styrelse, regionsloven og lov om kommunale og regionale
valg. (Suspension og afsættelse af en borgmester, frister for materiale til kommunalbestyrelsesmøder mv.)).
Transportministeren (Pia Olsen Dyhr):
Lovforslag nr. L 26 (Forslag til lov om udbygning af Fynske Motorvej syd om Odense) og
Lovforslag nr. L 27 (Forslag til lov om anlæg af Holstebromotorvejen).

Beslutningsforslag nr. B 4 (Forslag til folketingsbeslutning om at
fjerne kravet om opkrævning af mindst 16 promille i grundskyld).

Beslutningsforslag nr. B 5 (Forslag til folketingsbeslutning om at
undtage modtagere af revalideringsydelse fra kravet om selvforsørgelse i forbindelse med erhvervelse og forlængelse af opholdstilladelser og ægtefællesammenføring med udenlandske ægtefæller i
Danmark).
Anni Matthiesen (V), Alex Ahrendtsen (DF), Merete Riisager (LA)
og Lene Espersen (KF) m.fl.:
Beslutningsforslag nr. B 6 (Forslag til folketingsbeslutning om større
frihedsgrader for frie skoler).
Jane Heitmann (V) m.fl.:
Forespørgsel nr. F 1 (Hvad kan ministeren oplyse om regeringens
planer på astmaområdet, særlig med fokus på forebyggelse af børneastma og nedbringelse af antallet af indlagte børn med astma?).
Esben Lunde Larsen (V), Jens Henrik Thulesen Dahl (DF), Merete";Morten Bødskov
6326;name_party;":
Forespørgsel nr. F 2 (Vil ministeren redegøre for, hvordan ministeren vil øge kvaliteten i uddannelsessystemet, set i lyset af det stigende optag, således at danske uddannelser opnår international konkurrencedygtighed og uddanner unge, der matcher erhvervslivets arbejdskraftefterspørgsel, og herunder redegøre for, hvilke initiativer
ministeren vil tage for at sikre, at der ikke slækkes på kvaliteten i
takt med den øgede kvantitet i uddannelsessystemet?).";Riisager
6828;name_party;":
Forespørgsel nr. F 3 (Vil ministeren redegøre for regeringens værdipolitik med fokus på de udfordringer, der følger af indvandringen,
og som presser/tvinger danskerne til at ændre levevis og adfærd og
»rette ind« af hensyn til indvandrere?).";Pia Kjærsgaard
7108;title_name;":
Lovforslag nr. L 28 (Forslag til forslag til lov om ændring af forskellige bestemmelser på Ministeriet for Fødevarer, Landbrug og Fiskeris område om obligatorisk digital kommunikation m.v. (Obligatorisk digital kommunikation, ændring af klagebestemmelser som følge af ressortoverførsel m.v.)).

Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk
(jf. ovenfor).
Europaudvalget har afgivet beretning nr. 6 [Beretning om styrkelse
af Europaudvalgets adgang til information om forhandlinger i Rådet]
og

Bertel Haarder (V), Jens Henrik Thulesen Dahl (DF) og Villum";Karen Hækkerup
7703;name_party;":

§ 71-tilsynet har afgivet beretning nr. 7 [Beretning om tilsynets virksomhed i folketingsåret 2012-13].

Beslutningsforslag nr. B 1 (Forslag til folketingsbeslutning om
forskning og efteruddannelse inden for grundskolens fag).

Beretningerne fremgår ligeledes af www.folketingstidende.dk.

Ole Birk Olesen (LA) m.fl.:
Beslutningsforslag nr. B 2 (Forslag til folketingsbeslutning om offentlige ejendomsvurderinger og tilbagebetaling af for meget opkrævet skat).

Det eneste punkt på dagsordenen er:
1) Valg af stående udvalg m.v.

Peter Christensen (V) og Torsten Schack Pedersen (V):";Christensen
