split;reason;text;value
0;;".

Torsdag den 26. marts 1998 (D)

7

17) Valg af 17 medlemmer og stedfortrædere
til Kommunaludvalget.
2. m ø d e";
150;Time;"Dagsorden
1) Eneste behandling af indstilling fra Udvalget til Prøvelse af Valgene.
2) Valg af formand.
3) Valg af 4 næstformænd.
4) Valg af 4 tingsekretærer.
5) Valg af 16 medlemmer til Udvalget for Forretningsordenen.
6) Valg af 17 medlemmer til Udvalget til Valgs
Prøvelse.
7) Valg af 17 medlemmer og stedfortrædere til
Arbej dsmarkedsudvalget.
8) Valg af 17 medlemmer og stedfortrædere til
Boligudvalget.
9) Valg af 17 medlemmer og stedfortrædere til
Det Energipolitiske Udvalg.

18) Valg af 17 medlemmer og stedfortrædere
til Kulturudvalget.
19) Valg af 17 medlemmer og stedfortrædere
til Miljø- og Planlægningsudvalget.
20) Valg af 17 medlemmer og stedfortrædere
til Det Politisk-Økonomiske Udvalg.
21) Valg af 17 medlemmer og stedfortrædere
til Retsudvalget.
22) Valg af 17 medlemmer og stedfortrædere
til Skatteudvalget.
23) Valg af 17 medlemmer og stedfortrædere
til Socialudvalget.
24) Valg af 17 medlemmer og stedfortrædere
til Sundhedsudvalget.
25) Valg af 17 medlemmer og stedfortrædere
til Trafikudvalget.
26) Valg af 17 medlemmer og stedfortrædere
til Uddannelsesudvalget.
27) Valg af 17 medlemmer og stedfortrædere
til Udenrigsudvalget.

10) Valg af 17 medlemmer og stedfortrædere
til Erhvervsudvalget.

28) Valg af 17 medlemmer og stedfortrædere
til Udvalget for Fødevarer, Landbrug og Fiskeri.

11) Valg af 17 medlemmer og stedfortrædere
til Europaudvalget.

29) Valg af 2 medlemmer til at føre tilsyn med
Folketingets Bibliotek.

12) Valg af 17 medlemmer til Finansudvalget.

30) Valg af 9 medlemmer til det i grundlovens
§ 71 omhandlede tilsyn med behandlingen af
personer, som er underkastet frihedsberøvelse.

13) Valg af 17 medlemmer og stedfortrædere
til Forskningsudvalget.
14) Valg af 17 medlemmer og stedfortrædere
til Forsvarsudvalget.
15) Valg af 17 medlemmer til Indfødsretsudvalget.
16) Valg af 17 medlemmer og stedfortrædere
til Kirkeudvalget.

31) Valg af 17 medlemmer og 17 stedfortrædere til Det Udenrigspolitiske Nævn.
32) Valg af 16 medlemmer og 16 stedfortrædere til Nordisk Råd.
33) Valg af 9 medlemmer og 9 stedfortrædere
til udvalget vedrørende Det Etiske Råd.

8

Torsdag den 26. marts 1998 (D)

34) Valg af 5 medlemmer til Udetillægsnævnet.
35) Valg af 5 medlemmer og 5 stedfortrædere
til Europarådet.
36) Valg af 6 medlemmer og 6 stedfortrædere
til OSCE's parlamentariske forsamling.
37) Valg af 2 observatører og 2 stedfortrædere
til Vestunionens Parlamentariske Forsamling,
WEU.

Meddelelser fra formanden";kl. 13.00
2642;title_name;":
Udvalget til Prøvelse af Valgene har afgivet:
Betænkning og indstilling.
(Beslutningsforslag nr. B 1).
Eksemplarer er omdelt.

Den første sag på dagsordenen var:
1) Eneste behandling af indstilling fra Udvalget til Prøvelse af Valgene.
Forhandling";Ivar Hansen
2907;name_party;":
Idet jeg skal henvise til den omdelte betænkning og indstilling, kan jeg oplyse følgende om
udvalgets arbejde:
Arbejdet har som sædvanlig vedrørt tre
spørgsmål: For det første spørgsmålet om gyldigheden af valghandlingen, herunder valgets
forberedelse, stemmeafgivningen, optællingen
af stemmesedler og vurderingen af dem samt
valgbøgerne og disses førelse m.v., for det
andet spørgsmålet om godkendelse af de af
Indenrigsministeriet foretagne opgørelser og
beregninger og for det tredje spørgsmålet om
godkendelse af de kandidater, der har opnået
valg.
Om det første spørgsmål kan jeg sige, at
udvalget har gennemgået Indenrigsministeriets
redegørelse indeholdende de bemærkninger,

som gennemgangen af valgbogsudskrifterne
har givet ministeriet anledning til. Der har endvidere for udvalget foreligget femten klager og
henvendelser vedrørende valghandlingen. Jeg
skal her henvise til betænkningen, hvad angår
den stilling, udvalget har taget til disse klager.
Med hensyn til det andet spørgsmål har
udvalget behandlet godkendelsen af Indenrigsministeriets opgørelser og beregninger, der ikke
har givet anledning til bemærkninger fra udvalget.
Vedrørende det tredje spørgsmål om godkendelse af de valgte har udvalget følgende
indstilling:
1) Vedrørende valget i Danmark indstiller
udvalget i enighed, at Folketinget godkender
det i Danmark den 11. marts 1998 afholdte valg
af medlemmer til Folketinget, de af Indenrigsministeriet den 25. marts 1998 fremsendte
beregninger og opgørelser af dette valg og de
på den omdelte valgkredsfortegnelse opførte
175 kandidater som valgte fra og med den 11.
marts 1998.
2) Vedrørende valget i Grønland indstiller et
enigt udvalg, at Folketinget godkender i henhold til forretningsordenens § 1, stk. 6, på
grundlag af den af Rigsombudsmanden i Grønland fremsendte valgbog om folketingsvalget i
Grønland den 11. marts 1998 de to på den
omdelte valgkredsfortegnelse opførte kandidater som valgte fra og med den 11. marts 1998.
3) Vedrørende valget på Færøerne indstiller
et enigt udvalg, at Folketinget godkender det på
Færøeme den 11. marts 1998 afholdte valg af to
medlemmer til Folketinget, den af valgbestyrelsen foretagne opgørelse og beregning over dette
valg og de på den omdelte valgkredsfortegnelse
opførte to kandidater som valgte fra og med
den 11. marts 1998.
Hermed sluttede forhandlingen.
Afstemning
Den midlertidige fonnand (Ivar Hansen):
Der foreligger, som vi hørte, tre indstillinger,
som alle er afgivet af et enigt udvalg, og som
går ud på godkendelse af valgene. Det er derfor
min agt som efter tidligere valg at lade foretage
afstemning om de tre indstillinger under ét. Der
stemmes altså om udvalgets indstilling nr. 1-3
vedrørende valget i henholdsvis Danmark,
Grønland og på Færøerne.

(2)
Torsdag den 26. marts 1998
Udvalgets indstilling vedtoges enstemmigt med
175 stemmer.

Meddelelser fra formanden";Erik Larsen
5811;title_name;":
Inden vi går over til den næste sag på dagsordenen, skal jeg udsætte mødet. Jeg skal i den
forbindelse bede de medlemmer, der ikke tidligere har været medlemmer af Folketinget, om
at underskrive den i grundlovens § 32, stk. 7,
nævnte forsikring om at ville holde grundloven.
Denne underskrift gives i Vandrehallen ved
montrerne med grundlovene umiddelbart efter
udsættelsen af mødet.
Jeg skal her udsætte mødet. Det genoptages i
dag kl. 13.30.
Mødet udsat kl. 13.06

Mødet genoptaget kl. 13.30
Meddelelser fra formanden";Ivar Hansen
6371;title_name;":
For en ordens skyld skal jeg spørge, om alle
nyvalgte medlemmer har gjort det, de skulle
gøre her i pausen, nemlig underskrive grundloven. (Ophold). Det ser ud til, at alle har husket
det.
Medlem af Folketinget Hans-Pavia Rosing
har meddelt mig, at han er indtrådt i Socialdemokratiets folketingsgruppe, medlem af Folketinget Ellen Kristensen har meddelt mig, at hun
er indtrådt i Venstres folketingsgruppe, og
medlem af Folketinget 6li Breckmann har meddelt mig, at han er indtrådt i Det Konservative
Folkepartis folketingsgruppe.

9

Den næste sag på dagsordenen var:
2) Valg af formand.";Ivar Hansen
7001;title_name;":
Til formand har en gruppe på 89 medlemmer
omfattende Socialdemokratiet, Socialistisk
Folkeparti, Det Radikale Venstre og Enhedslisten indstillet fru Birte Weiss.
En anden gruppe på 89 medlemmer omfattende Venstre, Det Konservative Folkeparti,
Dansk Folkeparti, Centrum-Demokraterne,
Fremskridtspartiet og Kristeligt Folkeparti har
indstillet Ivar Hansen.
Valget foretages i henhold til Folketingets
forretningsordens § 3, stk, 1, uden forhandling
og finder i øvrigt sted efter reglerne i forretningsordenens § 36, stk. 2. Det betyder, at hvert
medlem enten kan stemme for én og kun én af
de to indstillede kandidater eller tilkendegive,
at vedkommende ikke ønsker at stemme for
nogen af dem, der er indstillet.
Der vil blive stemt successivt for de to kandidater, og herefter vil der blive givet mulighed
for at tilkendegive, at man ikke ønsker at stemme for nogen af de to indstillede. Opnår én af
de foreslåede kandidater over halvdelen af de
afgivne stemmer, er vedkommende valgt. I
modsat fald foretages et nyt frit valg. Står stemmerne lige også ved denne afstemning, må Tinget foretage lodtrækning.
Jeg gør i øvrigt opmærksom på, at i hele
afstemningsforløbet er det kun den grønne
knap, der kan anvendes.
Jeg spørger for en ordens skyld gruppesekretærerne, om deres medlemmer er på plads i
salen, så afstemningen kan foregå uden usikkerhed. Hvis nogen gruppesekretær ønsker en
mindre udsættelse, så er jeg parat til det.
(Ophold). Jeg får ingen tilkendegivelser om, at
nogle medlemmer mangler i salen: så går vi i
gang med afstemningsforløbet.
Jeg beder dem, der ønsker at afgive stemme,
om at kontrollere, at pulten virker, at ens lys på
tavlen virker og kontrollere det endnu en gang.
Afstemning
For Birte Weiss stemte 87 medlemmer.
For Ivar Hansen stemte 87 medlemmer. ,

10

Torsdag den 26. marts 1998";Ivar Hansen
8856;title_name;":
Som aftalt før vi gik i gang med proceduren,
skal vi så have en afstemning, hvor de, der måtte ønske at tilkendegive ikke at ville stemme for
nogen af de to kandidater, får mulighed for det.
Afstemning
1 medlem tilkendegav ikke at ønske at stemme
for nogen af de to kandidater.";Ivar Hansen
9174;title_name;":
Jeg gentager: Det forhold, at stemmerne for
Birte Weiss og for undertegnede står lige, og at
ingen har opnået over halvdelen af de afgivne
stemmer, betyder, at vi gennemfører afstemningen endnu en gang.
Afstemning
For Birte Weiss stemte 87 medlemmer.
For Ivar Hansen stemte 87 medlemmer.
1 medlem tilkendegav ikke at ønske at stemme
for nogen af de to kandidater.";Ivar Hansen
9578;title_name;":
Jeg konstaterer herefter, at heller ikke ved
anden afstemning har nogen af de to kandidater
opnået mere end halvdelen af de afgivne stemmer. Tinget må herefter ty til den sidste mulighed for at få en afgørelse, og den afgørelse skal
træffes nu, og det vil sige, at vi må gå i gang
med en lodtrækning.
Jeg vil bede fru Grete Schødts og hr. Anders
Mølgaard om at fungere som midlertidige tingsekretærer ved denne lodtrækning.
Jeg har her to kort og to konvolutter. På det
ene kort står »Birte Weiss«, og på det andet kort
står »Ivar Hansen«. Jeg vil nu bede de to tingsekretærer om at lægge kortene i kuverterne og
derefter ned i den smukke kinesiske vase, der
står her foran. Den har været i brug før.
Den person, hvis kort jeg trækker op af krukken, vil så besætte posten som formand for Folketinget.
På mit kort står »Ivar Hansen«. (Bifald). Vi må
have lidt ro i salen. >

Den næste sag på dagsordenen var:
3) Valg af 4 næstformænd.";Ivar Hansen
