split;reason;text;value
0;;"Onsdag den 5. oktober 2016 (D)

1

andre dele af riget, folkeafstemninger i henhold til særlig lov, ophængningstidspunkt for valgplakater m.v.)).

2. møde

Udlændinge-, integrations- og boligministeren (Inger Støjberg):";
257;Time;"Lovforslag nr. L 10 (Forslag til lov om ændring af lov om almene
boliger m.v., lov om leje af almene boliger og lov om friplejeboliger.
(Effektivisering af den almene boligsektors drift, forsøg med varmeregnskaber m.v.)) og

Dagsorden
1) Valg af stående udvalg m.v.";kl. 13.00
534;Time;"Lovforslag nr. L 11 (Forslag til lov om ændring af udlændingeloven.
(Ændring af Flygtningenævnets sammensætning m.v.)).

Meddelelser fra formanden

Kulturministeren (Bertel Haarder):";Kl. 13:00
746;title_name;":
Mødet er åbnet.

Lovforslag nr. L 13 (Forslag til lov om ændring af folkeoplysningsloven og ligningsloven. (Indsats mod foreninger, som modarbejder
eller underminerer demokrati eller grundlæggende friheds- og menneskerettigheder)).

Af hensyn til at det skal være almindelig kendt for offentligheden,
og at det skal stå i Folketingstidende, skal jeg i dag komme med følgende anmeldelser, men på baggrund af de mange fremsættelser skal
jeg undlade at læse titlerne op, jeg nævner alene numrene:
Beskæftigelsesministeren (Jørn Neergaard Larsen):
Lovforslag nr. L 4 (Forslag til lov om ændring af lov om aktiv socialpolitik og barselsloven. (Præciseringer af Jobreform fase I og
konsekvens for arbejdsgivers ret til refusion ved for sen anmeldelse
af graviditetsbetinget sygefravær m.v.)).
Social- og indenrigsministeren (Karen Ellemann):
Lovforslag nr. L 5 (Forslag til lov om ændring af lov om social service, lov om retssikkerhed og administration på det sociale område
og lov om voksenansvar for anbragte børn og unge. (Fremtidsfuldmagter på det sociale område m.v.)),
Lovforslag nr. L 6 (Forslag til lov om ændring af lov om Det Centrale Personregister. (Indførelse af ret til at få indsat en markering i
CPR om, at borgeren ønsker at advare mod kreditgivning i vedkommendes navn)),
Lovforslag nr. L 7 (Forslag til lov om Haagerkonventionen af 2007),
Lovforslag nr. L 8 (Forslag til lov om ændring af lov om socialtilsyn, lov om social service og lov om voksenansvar for anbragte børn
og unge. (Opfølgning på socialtilsynsreformen m.v.)) og
Lovforslag nr. L 9 (Forslag til lov om ændring af lov om valg til Folketinget, lov om valg af danske medlemmer til Europa-Parlamentet,
lov om kommunale og regionale valg, lov om offentlige veje m.v. og
lov om private fællesveje. (Hjælp til stemmeafgivning, valgret til
Europa-Parlamentsvalg m.v. for personer med midlertidigt ophold i

Transport- og bygningsministeren (Hans Christian Schmidt):
Lovforslag nr. L 14 (Forslag til lov om ændring af postloven. (Ændring af betegnelsen for B-breve og afskaffelse af udligningsordningen)) og
Lovforslag nr. L 15 (Forslag til lov om etablering af en ny jernbane
til Aalborg Lufthavn med tilhørende anlæg).";Pia Kjærsgaard
2970;title_name;":
Lovforslag nr. L 16 (Forslag til lov om ændring af lov om tinglysning, lov om afgift af tinglysning og registrering af ejer- og panterettigheder m.v., lov om realkreditlån og realkreditobligationer m.v. og
forskellige andre love. (Ændring af reglerne for tinglysning og realkreditbelåning vedrørende visse tele-, energiforsynings- og vandforsyningsvirksomheder)),
Lovforslag nr. L 17 (Forslag til lov om ændring af lov om forbud
mod besøgende i bestemte lokaler og lov om politiets virksomhed.
(Initiativer mod handel med hash m.v. og politiets anvendelse af peberspray)),
Lovforslag nr. L 18 (Forslag til lov om ændring af straffeloven. (Kriminalisering af udtrykkelig billigelse af visse strafbare handlinger
som led i religiøs oplæring)),
Lovforslag nr. L 19 (Forslag til lov om ændring af lov om tilhold,
opholdsforbud og bortvisning. (Strakstilhold)),
Lovforslag nr. L 20 (Forslag til lov om ændring af lov om retsplejeloven. (Sagkyndig bevisførelse m.v.)) og

2

Onsdag den 5. oktober 2016 (FM )

Beslutningsforslag nr. B 3 (Forslag til folketingsbeslutning om Danmarks tilslutning på mellemstatsligt grundlag til EU᾽s direktiv om
databeskyttelse på retshåndhævelsesområdet).

Lovforslag nr. L 30 (Forslag til lov om ændring af lov om ægteskabs
indgåelse og opløsning. (Decorumkrav og obligatorisk kursus i
dansk familieret, frihed og folkestyre)).

Erhvervs- og vækstministeren (Troels Lund Poulsen):";Søren Pind
4426;name_party;":

Lovforslag nr. L 21 (Forslag til lov om behandling af erstatningssager vedrørende overtrædelser af konkurrenceretten),

Beslutningsforslag nr. B 1 (Forslag til folketingsbeslutning om gratis
psykologhjælp til voldsramte på landets krisecentre).

Lovforslag nr. L 22 (Forslag til lov om ændring af lov om leje af erhvervslokaler m.v. (Tidsbegrænsning af erhvervslejeaftaler og vurdering af markedslejen)),

Energi-, forsynings- og klimaministeren (Lars Christian Lilleholt):

Lovforslag nr. L 23 (Forslag til lov om ændring af selskabsloven og
årsregnskabsloven. (Ændrede krav til ejerregistrering, betinget lovliggørelse af kapitalejerlån m.v.)) og
Lovforslag nr. L 24 (Forslag til lov om ændring af varemærkeloven
og forskellige andre love. (Styrket indsats mod piratkopiering ved
etablering af en særlig enhed om håndhævelse og piratkopiering
samt overførsel af gebyrindtægter)).

Beslutningsforslag nr. B 2 (Forslag til folketingsbeslutning om Danmarks ratifikation af Parisaftalen).
Søren Søndergaard (EL) og Rasmus Nordqvist (ALT) m.fl.:
Beslutningsforslag nr. B 4 (Forslag til folketingsbeslutning om afvisning af midlertidig anvendelse af økonomi- og handelsaftalen mellem EU og Canada (CETA)).
Eva Flyvholm (EL), Mette Reissmann (S), Carolina Magdalene Maier (ALT), Ida Auken (RV) og Jacob Mark (SF):";Rasmus Horn Langhoff
5775;title_name;":
Lovforslag nr. L 25 (Forslag til lov om ændring af lov om afgift af
elektricitet, fusionsskatteloven og selskabsskatteloven. (Lempelse af
elafgift for forlystelser, ændring af reglerne om skattefri spaltning,
særlige bonushensættelser, værdiansættelse af kooperationsbeskattede andelsforeningers unoterede aktier samt sambeskatning i forbindelse med konkurs)),
Lovforslag nr. L 26 (Forslag til lov om ændring af chokoladeafgiftsloven, ligningsloven, skattekontrolloven og forskellige andre love.
(Implementering af ændringsdirektiver vedrørende automatisk udveksling af skatteafgørelser og land for land-rapportering, skærpede
»colabøder«, ophævelse af bopælskravet i relation til lån til betaling
af ejendomsskatter og ophævelse af krav om dansk statsborgerskab
for modtagelse af skattefrie udetillæg m.v.)),
Lovforslag nr. L 27 (Forslag til lov om ændring af fondsbeskatningsloven, ligningsloven og skattekontrolloven. (Ophævelse af fondes
adgang til fradrag for ikke-almennyttige uddelinger)),
Lovforslag nr. L 28 (Forslag til lov om ændring af skatteforvaltningsloven og ligningsloven. (Omkostningsgodtgørelse til skattepligtige selskaber og fonde, udskydelse af søgsmålsfristen ved klage
til Folketingets Ombudsmand, overførelse af sager om fradrag for
forbedring af grundværdi fra Landsskatteretten til vurderingsankenævnene, ingen omkostningsgodtgørelse ved påklage af afgørelser
om godtgørelse og ved overspringelse af klageinstans i sager om
ejendomsvurderinger, initiativer til imødegåelse af misbrug af godtgørelsesordningen m.v.)) og
Lovforslag nr. L 29 (Forslag til lov om ændring af lov om kuldioxidafgift af visse energiprodukter, lov om afgift af lønsum m.v., lov om
afgift af elektricitet, lov om afgift af kvælstofoxider, lov om registrering af køretøjer og forskellige andre love. (Tilpasning af afgiftslovene til Europa-Kommissionens statsstøttereform, lønsumsafgiftsfritagelse for visse undervisningsaktiviteter, ændring af godtgørelsesbestemmelse for elektricitet leveret fra land til skibe, tekniske justeringer af lov om afgift af kvælstofoxider og ændring af reglerne for
registrering og udstedelse af EU-registreringsbevis for blokvogne
m.v.)).
Kirkeministeren (Bertel Haarder):

Forespørgsel nr. F 1 (Vil ministeren redegøre for, hvorfor regeringen
vil skære ned på SU-stipendiet og fjerne det sjette SU-år, og hvilke
konsekvenser en sådan nedskæring kan få for studerendes leveforhold og gennemførelse af studierne, ulighed i uddannelsessystemet
og vores uddannelsesniveau i Danmark?).
Finn Sørensen (EL) m.fl.:
Forespørgsel nr. F 2 (Hvad kan ministeren oplyse om de menneskelige og samfundsmæssige konsekvenser af lovgivningen om kontanthjælpsloft, 225-timersregel og integrationsydelse?).
Nikolaj Villumsen (EL), Mette Bock (LA) og Rasmus Nordqvist
(ALT):
Forespørgsel nr. F 3 (Hvad er regeringens holdning til benægtelsen
af folkedrabet på armenierne i 1915-1923, og vil regeringen i lighed
med den tyske forbundsdag og Europa-Parlamentet anerkende folkedrabet?).
Med samtykke fra forslagsstillerne foreslår jeg, at beslutningsforslag
nr. B 4 henvises direkte til Europaudvalget. Hvis ingen gør indsigelse, betragter jeg det som vedtaget.
Det er vedtaget.
Titlerne på de anmeldte sager vil fremgå af www.folketingstidende.dk. (jf. ovenfor).

Det eneste punkt på dagsordenen er:
1) Valg af stående udvalg m.v.";Karsten Lauritzen
9126;Time;;Kl. 13:02
9154;title_name;":
Til disse valg er anmeldt følgende valggrupper:
en gruppe på 90 medlemmer: Dansk Folkeparti, Venstre, Liberal
Alliance og Konservative Folkeparti:
en gruppe på 89 medlemmer: Socialdemokratiet, Enhedslisten,
Alternativet, Radikale Venstre, Socialistisk Folkeparti, Inuit Ataqatigiit, Tjóðveldi, Javnaðarflokkurin og Aleqa Hammond (UFG).

Onsdag den 5. oktober 2016 (FM )

Der foreligger indstilling fra grupperne om disse valg. Navnene
på de valgte kan findes på Folketingets hjemmeside og i folketingstidende.dk (jf. nedenfor).
Samtidig er der fra grupperne fremkommet forslag om valg af
formand og næstformand. Der er kun bragt én i forslag til hver af
disse poster, og navnene er optaget i Folketingstidende.
[Valg af 16 medlemmer til Udvalget for Forretningsordenen.
Valgt blev:
1 Pia Kjærsgaard (DF)
2 Henrik Dam Kristensen (S)
3 Kristian Pihl Lorentzen (V)
4 Christian Juhl (EL)
5 Mette Bock (LA)
6 Peter Skaarup (DF)
7 Søren Espersen (DF)
8 Martin Henriksen (DF)
9 Søren Gade (V)
10 Torsten Schack Pedersen (V)
11 Jakob Ellemann-Jensen (V)
12 Simon Emil Ammitzbøll (LA)
13 Søren Pape Poulsen (KF)
14 Benny Engelbrecht (S)
15 Christine Antorini (S)
16 Henrik Sass Larsen (S)
17 Karen J. Klint (S)
18 Jakob Sølvhøj (EL)
19 Josephine Fock (ALT)
20 Morten Østergaard (RV)
21 Jacob Mark (SF)
(Udvalget for Forretningsordenen består af Folketingets Præsidium
(nr. 1-5) tillige med 16 valgte medlemmer).

Valg af 29 medlemmer til Beskæftigelsesudvalget.
Valgt blev:
1 Bent Bøgsted (DF)
2 Jens Henrik Thulesen Dahl (DF)
3 Claus Kvist Hansen (DF)
4 Karina Adsbøl (DF)
5 Marlene Harpsøe (DF)
6 Karina Due (DF)
7 Hans Andersen (V)
8 Peter Juel Jensen (V)
9 Louise Schack Elholm (V)
10 Carl Holst (V)
11 Anni Matthiesen (V)
12 Britt Bager (V)
13 Joachim B. Olsen (LA)
14 Laura Lindahl (LA)
15 Rasmus Jarlov (KF)
16 Ane Halsboe-Jørgensen (S)
17 Bjarne Laustsen (S)
18 Mattias Tesfaye (S)
19 Leif Lahn Jensen (S)
20 Lennart Damsbo-Andersen (S)
21 Pernille Rosenkrantz-Theil (S)
22 Jan Johansen (S)
23 Henning Hyllested (EL)
24 Christian Juhl (EL)
25 Finn Sørensen (EL)
26 Josephine Fock (ALT)
27 Torsten Gejl (ALT)
28 Sofie Carsten Nielsen (RV)
29 Karsten Hønge (SF)";Pia Kjærsgaard
11325;title_name;Bent Bøgsted (DF);Formand
11356;title_name;Bjarne Laustsen (S);Næstformand
11386;title_name;Pia Kjærsgaard (DF);Formand
11419;title_name;"Henrik Dam Kristensen (S)

Valg af 29 medlemmer til Børne- og undervisningsudvalget.

Valg af 17 medlemmer til Udvalget for Valgs Prøvelse.

Valgt blev:

Valgt blev:

1 Jens Henrik Thulesen Dahl (DF)
2 Pernille Bendixen (DF)
3 Marlene Harpsøe (DF)
4 Dorthe Ullemose (DF)
5 Carsten Kudsk (DF)
6 Marie Krarup (DF)
7 Anni Matthiesen (V)
8 Peter Juel Jensen (V)
9 Jan E. Jørgensen (V)
10 Louise Schack Elholm (V)
11 Carl Holst (V)
12 Jane Heitmann (V)
13 Henrik Dahl (LA)
14 Merete Riisager (LA)
15 Anders Johansson (KF)
16 Annette Lind (S)
17 Daniel Toft Jakobsen (S)
18 Jan Johansen (S)
19 Julie Skovsby (S)
20 Mattias Tesfaye (S)
21 Pernille Rosenkrantz-Theil (S)
22 Pernille Schnoor (ALT)
23 Eva Flyvholm (EL)
24 Jakob Sølvhøj (EL)

1 Bent Bøgsted (DF)
2 Hans Kristian Skibby (DF)
3 Susanne Eilersen (DF)
4 Claus Kvist Hansen (DF)
5 Peter Juel Jensen (V)
6 Kristian Pihl Lorentzen (V)
7 Anni Matthiesen (V)
8 Leif Mikkelsen (LA)
9 Brian Mikkelsen (KF)
10 Benny Engelbrecht (S)
11 Bjarne Laustsen (S)
12 Christine Antorini (S)
13 Karen J. Klint (S)
14 Pernille Skipper (EL)
15 René Gade (ALT)
16 Martin Lidegaard (RV)
17 Jacob Mark (SF)";Næstformand
12564;title_name;Peter Juel Jensen (V);Formand
12599;title_name;"Karen J. Klint (S)

3

4

Onsdag den 5. oktober 2016 (FM )

25 Carolina Magdalene Maier (ALT)
26 Torsten Gejl (ALT)
27 Lotte Rod (RV)
28 Marianne Jelved (RV)
29 Jacob Mark (SF)";Næstformand
12786;title_name;Pernille Rosenkrantz-Theil (S);Formand
12830;title_name;"Jens Henrik Thulesen Dahl (DF)
Valg af 29 medlemmer til Energi-, Forsynings- og Klimaudvalget.
Valgt blev:
1 Mikkel Dencker (DF)
2 Dorthe Ullemose (DF)
3 Ib Poulsen (DF)
4 Pia Adelsteen (DF)
5 Jan Rytkjær Callesen (DF)
6 Claus Kvist Hansen (DF)
7 Thomas Danielsen (V)
8 Jacob Jensen (V)
9 Kristian Pihl Lorentzen (V)
10 Torsten Schack Pedersen (V)
11 Marcus Knuth (V)
12 Carl Holst (V)
13 Carsten Bach (LA)
14 Villum Christensen (LA)
15 Mette Abildgaard (KF)
16 Lars Aslan Rasmussen (S)
17 Bjarne Laustsen (S)
18 Malte Larsen (S)
19 Jens Joel (S)
20 Kirsten Brosbøl (S)
21 Lea Wermelin (S)
22 Karin Gaardsted (S)
23 Søren Egge Rasmussen (EL)
24 Maria Reumert Gjerding (EL)
25 Christian Poll (ALT)
26 Andreas Steenberg (RV)
27 Ida Auken (RV)
28 Pia Olsen Dyhr (SF)
29 Trine Torp (SF)";Næstformand
13622;title_name;Thomas Danielsen (V);Formand
13656;title_name;"Lea Wermelin (S)
Valg af 29 medlemmer til Erhvervs, Vækst- og Eksportudvalget.
Valgt blev:
1 Hans Kristian Skibby (DF)
2 Mette Hjermind Dencker (DF)
3 Jan Rytkjær Callesen (DF)
4 Lise Bech (DF)
5 Tilde Bork (DF)
6 Dorthe Ullemose (DF)
7 Torsten Schack Pedersen (V)
8 Preben Bang Henriksen (V)
9 Eva Kjer Hansen (V)
10 Jacob Jensen (V)
11 Erling Bonnesen (V)
12 Jane Heitmann (V)
13 Villum Christensen (LA)
14 Joachim B. Olsen (LA)

15 Brian Mikkelsen (KF)
16 Erik Christensen (S)
17 Karin Gaardsted (S)
18 Peter Hummelgaard Thomsen (S)
19 Mette Reissmann (S)
20 Morten Bødskov (S)
21 Rasmus Horn Langhoff (S)
22 Thomas Jensen (S)
23 Pelle Dragsted (EL)
24 Henning Hyllested (EL)
25 René Gade (ALT)
26 Christian Poll (ALT)
27 Ida Auken (RV)
28 Lisbeth Bech Poulsen (SF)
29 Karsten Hønge (SF)";Næstformand
14456;title_name;Morten Bødskov (S);Formand
