split;reason;text;value
0;;"Onsdag den 6. oktober 1999 (D)

39

16) Valg af 17 medlemmer og stedfortrædere
til Det Politisk-Økonomiske Udvalg.
2. m ø d e

.";
165;Time;"Dagsorden
1) Valg af 16 medlemmer til Udvalget for Forretningsordenen.
2) Valg af 17 medlemmer til Udvalget til Valgs
Prøvelse.
3) Valg af 17 medlemmer og stedfortrædere til
Arbejdsmarkedsudvalget.
4) Valg af 17 medlemmer og stedfortrædere til
Boligudvalget.
5) Valg af 17 medlemmer og stedfortrædere til
Det Energipolitiske Udvalg.

17) Valg af 17 medlemmer og stedfortrædere
til Retsudvalget.
18) Valg af 17 medlemmer og stedfortrædere
til Skatteudvalget.
19) Valg af 17 medlemmer og stedfortrædere
til Socialudvalget.
20) Valg af 17 medlemmer og stedfortrædere
til Sundhedsudvalget.
21) Valg af 17 medlemmer og stedfortrædere
til Trafikudvalget.
22) Valg af 17 medlemmer og stedfortrædere
til Uddannelsesudvalget.
23) Valg af 17 medlemmer og stedfortrædere
til Udenrigsudvalget.

6) Valg af 17 medlemmer og stedfortrædere til
Erhvervsudvalget.

24) Valg af 17 medlemmer og stedfortrædere
til Udvalget for Fødevarer, Landbrug og Fiskeri.

7) Valg af 17 medlemmer og stedfortrædere til
Europaudvalget.

25) Valg af 2 medlemmer til at føre tilsyn med
Folketingets Bibliotek.

8) Valg af 17 medlemmer til Finansudvalget.

26) Valg af 9 medlemmer til det i grundlovens
§ 71 omhandlede tilsyn med behandlingen af
personer, som er underkastet frihedsberøvelse.

9) Valg af 17 medlemmer og stedfortrædere til
Forskningsudvalget.
10) Valg af 17 medlemmer og stedfortrædere
til Forsvarsudvalget.
11) Valg af 17 medlemmer til Indfødsretsudvalget.
12) Valg af 17 medlemmer og stedfortrædere
til Kirkeudvalget.
13) Valg af 17 medlemmer og stedfortrædere
til Kommunaludvalget.
14) Valg af 17 medlemmer og stedfortrædere
til Kulturudvalget.
15) Valg af 17 medlemmer og stedfortrædere
til Miljø- og Planlægningsudvalget.

27) Valg af 17 medlemmer og 17 stedfortrædere til Det Udenrigspolitiske Nævn.
28) Valg af 16 medlemmer og 16 stedfortrædere til Nordisk Råd.
29) Valg af 9 medlemmer og 9 stedfortrædere
til Udvalget vedrørende Det Etiske Råd.
30) Valg af 6 medlemmer og 6 stedfortrædere
til OSCE's Parlamentariske Forsamling.
31) Valg af 5 medlemmer og 5 stedfortrædere
til Europarådet.

40

Onsdag den 6. oktober 1999 (D)

32) Valg äf 2 observatører og 2 stedfortrædere
til Vestunionens Parlamentariske Forsamling,
WEU.

Meddelelser fra formanden";kl. 13.00
2439;title_name;":
Medlemmer af Folketinget Hans Peter Baadsgaard, Holger K. Nielsen og Flemming KofodSvendsen har meddelt mig, at de på grund af
udsendelse i offentligt hverv ikke vil kunne
give møde i Tinget i mindst 7 dage, hvorfor de
anmoder om orlov, jf. Folketingets forretningsordens § 41, stk. 3, litra a, fra og med den 7. oktober 1999 og om, at stedfortræderne må blive
indkaldt.
Medlem af Folketinget Rikke Hvilshøj har meddelt mig, at hun på grund af graviditet og fødsel ikke vil kunne give møde i Tinget i mindst 7
dage, hvorfor hun anmoder om orlov, jf. Folketingets forretningsordens § 41, stk. 4, litra a, fra
og med den 7. oktober 1999 og om, at stedfortræderen må blive indkaldt.
Kulturministeren (Elsebeth Gerner Nielsen) har
meddelt mig, at hun ønsker i henhold til forretningsordenens § 19, stk. 4, at give Folketinget
en skriftlig
Redegørelse om regeringens børnekulturpolitiske indsats.
(Redegørelse nr. R 2).
Eksemplarer vil blive omdelt, og redegørelsen
vil blive optaget i Folketingstidende.
Redegørelsen vil komme til forhandling tirsdag den 12. oktober 1999.
Indenrigsministeren (Thorkild Simonsen) har
meddelt mig, at han ønsker skriftligt at fremsætte:
Forslag til lov om Det Centrale Personregister.
(Lovforslag nr. L 3).

Kirkeministeren (Margrethe Vestager) har meddelt mig, at hun ønsker skriftligt at fremsætte:
Forslag til lov om ændring af lov om valg til
menighedsråd, lov om medlemskab af folkekirken, kirkelig betjening og sognebåndsløsning
og lov om folkekirkens økonomi. (Ajourføring
af bestemmelser vedrørende værgemål, tidsfrister og brevstemmer på institutioner samt bestemmelser vedrørende medlemmer af Skt.
Petri tyske menighed).
(Lovforslag nr. L 8).
Undervisningsministeren (Margrethe Vestager)
har meddelt mig, at hun ønsker skriftligt at
fremsætte:
Forslag til lov om ændring af lov om ændring
af lov om grundlæggende social- og sundhedsuddannelser inden for bistands-, pleje- og omsorgsområdet m.v. (Revision af den pædagogiske grunduddannelse).
(Lovforslag nr. L 9).
Forslag til lov om ændring af lov om de erhyervsgymnasiale uddannelser til højere handelseksamen og højere teknisk eksamen.
(Ikrafttræden for Grønland).
(Lovforslag nr. L 10).
Fødevareministeren (Henrik Dam Kristensen)
har meddelt mig, at han ønsker skriftligt at
fremsætte:
Forslag til lov om ændring af lov om dyrlægegerning m.v. (Etablering af et register over forbruget af veterinære lægemidler).
(Lovforslag nr. L 11).
Forslag til lov om ændring af lov om foderstoffer. (Indberetning om køb og salg af tilsætningsstoffer, indgriben mod sundhedsfarlige
foderstoffer m.m.).
(Lovforslag nr. L 12).
Miljø- og energiministeren (Svend Auken) har
meddelt mig, at han ønsker skriftligt at fremsætte:
Forslag til lov om ændring af lov om godtgørelse i forbindelse med indsamling af hermetisk
forseglede nikkel-cadmium-akkumulatorer
(lukkede nikkel-cadmium-batterier).
(Lovforslag nr. L 13).

(6)
Onsdag den 6. oktober 1999
Justitsministeren (Frank Jensen) har meddelt
mig, at han ønsker skriftligt at fremsætte:
Forslag til lov om ændring af retsplejeloven og
straffeloven. (Varetægtsfængsling i isolation,
varetægtsfængsling under domsforhandlingen,
vidnebeskyttelse, vidneudelukkelse for præster
fra andre trossamfund, afhøringer i sager ved
Højesteret, behandling af retssager uden for
retskredsen af lokalemæssige grunde samt klager over anklagemyndighedens sagsbehandling
m.v.).
(Lovforslag nr. L 14).
Forslag til lov om ændring af straffeloven.
(Grov momssvig, EU-svig og bestikkelse af
udenlandske tjenestemænd m.v.).
(Lovforslag nr. L 15).
Forslag til lov om ændring af lov om offentlige
indsamlinger. (Forbud mod pyramidespil).
(Lovforslag nr. L 16).
Forslag til lov om ændring af lov om forbud
mod privates tv-overvågning m.v. (Offentlige
myndigheders tv-overvågning) (Lovforslag nr.
L 17).
Forslag til lov om indfødsrets meddelelse.
(Lovforslag nr. L 18).
Skatteministeren (Ole Stavad) har meddelt mig,
at han ønsker skriftligt at fremsætte:
Forslag til lov om opkrævning af skatter og afgifter m.v.
(Lovforslag nr. L 19).
Forslag til lov om ændring af forskellige skatteog afgiftslove. (Konsekvensændringer som følge af opkrævningsloven.)
(Lovforslag nr. L 20).
Forslag til lov om ændring af husdyrsbeskatningsloven. (Afvikling af nedskrivning).
(Lovforslag nr. L 21).
Forslag til lov om ændring af forskellige skattelove. (Kildeartsbegrænsede tab ved skattefri fusion, spaltning og tilførsel af aktiver m.m.).
(Lovforslag nr. L 22). -

41

Forslag til lov om ophævelse af lov om godtgørelse vedrørende erhvervsvirksomheders udgifter til administration af skatter og afgifter.
(Lovforslag nr. L 23).
Forslag til lov om ændring af momsloven.
(Investeringsguld m.v.).
(Lovforslag nr. L 24).
Forslag til lov om ændring af lov om ændring
af lov om stempelafgift, retsafgiftsloven, skattestyrelsesloven og boligafgiftsloven samt om ophævelse af lov om afgift ved førstegangsoverdragelse af visse ejerlejligheder og ændring af
lov om tinglysningsafgift. (Ændret ikrafttrædelse, udvidet afgiftsfritagelse m.v.).
(Lovforslag nr. L 25).
Forslag til lov om ændring af lov om anvendelse af Det Europæiske Fællesskabs forordning
om foranstaltninger med henblik på at forbyde
overgang til fri omsætning, udførsel, genudførsel og henførsel under en suspensionsprocedure
af varemærkeforfalskede og piratkopierede
varer.
(Lovforslag nr. L 26)
Forslag til lov om ændring af toldloven, lov om
afgift af spiritus m.m., lov om tobaksafgifter,
momsloven, kildeskatteloven og lov om en arbejdsmarkedsfond. (Svigbekæmpende foranstaltninger m.v.).
(Lovforslag nr. L 27).
Medlemmer af Folketinget Pia Kjærsgaard (DF),
Kristian Thulesen Dahl (DF), Klaus Kjær (DF),
Poul Nødgaard (DF) og Peter Skaarup (DF) har
meddelt mig, at de ønsker at stille følgende
forespørgsel til statsministeren og justitsministeren:
»Hvilke oplysninger kan regeringen give om
den stigende indvandrervold og bandekriminalitet, og hvilke konkrete initiativer vil regeringen tage for at stoppe den omsiggribende
vold?«
(Forespørgsel nr. F 1).
Medlemmer af Folketinget Keld Albrechtsen
(EL) og Søren Søndergaard (EL) har meddelt
mig, at de ønsker at stille følgende forespørgsel
til statsministeren:

42

Onsdag den 6. oktober 1999

»Hvad kan statsministeren oplyse om det ekstraordinære topmøde i Tampere den 15.-16. oktober 1999?«
(Forespørgsel nr. F 2).
Medlem af Folketinget Frank Dahlgaard (UP)
har meddelt mig, at han ønsker at stille følgende forespørgsel til undervisningsministeren:
»Hvad agter ministeren at foretage sig for at
skaffe ro og bedre undervisningsbetingelser i
folkeskolens normalklasser samt for at hjælpe
de urolige elever, der i dag er stærkt forstyrrende for undervisningen i folkeskolens normalklasser?«
(Forespørgsel nr. F 3).
Medlemmer af Folketinget Keld Albrechtsen
(EL) og Søren Kolstrup (EL) har meddelt mig, at
de ønsker at stille følgende forespørgsel til";Henning Grove
9309;title_name;"»Hvad kan statsministeren oplyse om unionsudviklingen i EU, herunder om Danmarks forhold til Den Økonomiske og Monetære Union,
udviklingen af en fælles forsvarspolitik og udbygningen af det retlige samarbejde og om indholdet i EU's regeringskonference om institutionelle spørgsmål?«
(Forespørgsel nr. F 4).
Medlemmer af Folketinget Keld Albrechtsen
(EL), Søren Søndergaard (EL) og Frank Aaen
(EL) har meddelt mig, at de ønsker at stille følgende forespørgsel til justitsministeren, forsvarsministeren og forskningsministeren:
»Hvad kan ministrene oplyse om den paílamentariske kontrol med Echelon og andre aflytningssystemer i udlandet og herhjemme, herunder hvad regeringen hidtil har oplyst til Folketinget om disse forhold, og hvorledes regeringen fremover agter at styrke den parlamentariske kontrol?«
(Forespørgsel nr. F 5).
Medlemmer af Folketinget Jann Sjursen (KRF),
Flemming Kofod-Svendsen (KRF), Ole M.
Nielsen (KRF) og Tove Videbæk (KRF) har
meddelt mig, at de ønsker at stille følgende
forespørgsel til statsministeren:
»Hvilke initiativer vil regeringen tage for at
give børnefamilieme bedre mulighed for at

skabe sammenhæng mellem arbejdsliv og familieliv?«
(Forespørgsel nr. F 6).
Medlemmer af Folketinget Keld Albrechtsen
(EL) og Søren Kolstrup (EL) har meddelt mig, at
de ønsker at stille følgende forespørgsel til";statsministeren
10662;title_name;"»Hvad kan ministeren oplyse om den danske
holdning til Europa-Kommissionens forslag til
EU's forhandlingsposition ved de kommende
forhandlinger i WTO?«
(Forespørgsel nr. F 7).
Medlemmer af Folketinget Jacob Buksti (S),
Charlotte Antonsen (V), Lene Espersen (KF),
Mimi Jakobsen (CD) og Elisabeth Arnold (RV)
har meddelt mig, at de ønsker at stille følgende
forespørgsel til statsministeren og udenrigsministeren:
»Hvad kan statsministeren og udenrigsministeren oplyse om udviklingen i det europæiske
samarbejde og om regeringens politik i forhold
til de danske forbehold, herunder den fælles
mønt, spørgsmål i forhold til det retlige samarbejde - som blandt andet drøftes på det ekstraordinære topmøde i Tampere i Finland den
15.-16. oktober 1999 - og udviklingen af den
europæiske forsvarsdimension?«
(Forespørgsel nr. F 8).
Medlemmer af Folketinget Ole M. Nielsen
(KRF), Flemming Kofod-Svendsen (KRF), Jann
Sjursen (KRF) og Tove Videbæk (KRF) har
meddelt mig, at de ønsker at stille følgende
forespørgsel til arbejdsministeren:
»Hvilke initiativer vil regeringen tage for at begrænse eller undgå anvendelsen af kollektive
kampskridt inden for samfundsvigtige områder
i sundhedssektoren, samtidig med at lønmodtagernes rettigheder i nødvendigt omfang sikres?«
(Forespørgsel nr. F 9).
Medlemmer af Folketinget Tove Videbæk
(KRF), Flemming Kofod-Svendsen (KRF), Ole
M. Nielsen (KRF) og Jann Sjursen (KRF) har
meddelt mig, at de ønsker at stille følgende
forespørgsel til socialministeren:

Onsdag den 6. oktober 1999
»Hvilke initiativer vil regeringen tage for at
hjælpe socialt truede familier med at overkomme deres vanskeligheder ved en styrket tværfaglig og tværsektoriel indsats, der fokuserer på
hjælp til børnene, forældrene og familien som
helhed?«
(Forespørgsel nr. F 10).
Medlemmer af Folketinget Yvonne Herløv
Andersen (CD), Sonja Albrink (CD), Susanne
Clemensen (CD), Peter Duetoft (CD), Annie
Lunde Hansen (CD), Mimi Jakobsen (CD), Ebbe
Kalnæs (CD) og Arne Melchior (CD) har meddelt mig, at de ønsker at stille følgende forespørgsel til socialministeren, skatteministeren
og arbejdsministeren:
»Hvad planlægger regeringen at gøre for at
styrke det private sociale initiativ, hvis grundpiller er det frivillige sociale arbejde, de almenvelgørende foreninger og virksomhedernes sociale ansvar?«
(Forespørgsel nr. F 11).
Medlemmer af Folketinget Inge Refshauge (DF),
Kristian Thulesen Dahl (DF), Pia Kjærsgaard
(DF), Birthe Skaarup (DF) og Peter Skaarup
(DF) har meddelt mig, at de ønsker at stille følgende forespørgsel til socialministeren:
»Hvilke oplysninger kan regeringen give om de
ældres situation i Danmark, herunder med henI blik på at sikre det fornødne antal pladser på
plejehjem og alderdomshjem, sikre en ordentlig
og behovsbestemt hjemmehjælp og sikre ensartede regler over hele landet for tilskud til medicin m.v.?«
(Forespørgsel nr. F 12).
Medlemmer af Folketinget Poul Nødgaard (DF),
Kristian Thulesen Dahl (DF), Ole Donner (DF),
Pia Kjærsgaard (DF) og Peter Skaarup (DF) har
meddelt mig, at de ønsker at stille følgende
forespørgsel til kulturministeren:
»Hvilke oplysninger kan regeringen give om
Danmarks kulturelle udvikling set i lyset af den
stigende islamisering?«
(Forespørgsel nr. F 13).

43

Medlemmer af Folketinget Kim Behnke (FP) og
Thorkild B. Fransgaard (FP) har meddelt mig, at
de ønsker at stille følgende forespørgsel til trafikministeren: »Hvad kan ministeren oplyse om
Combus?«
(Forespørgsel nr. F 14).
Medlemmer af Folketinget Kim Behnke (FP),
Tom Behnke (FP) og Thorkild B. Fransgaard
(FP) har meddelt mig, at de ønsker at stille følgende forespørgsel til økonomiministeren og";udenrigsministeren
14306;title_name;"»Hvad kan regeringen oplyse om udviklingen i
grænsehandelen samt regeringens plan for at få
de danske afgifter på øl, vin, spiritus og tobak
tilnærmet EU-niveau?«
(Forespørgsel nr. F 15).

Meddelse om valggrupper";skatteministeren
14552;title_name;":
Som punkterne 1-32 er optaget valg af medlemmer og stedfortrædere til en række udvalg m.v.
Til disse valg er der anmeldt følgende valggrupper:
en gruppe på 97 medlemmer: Socialdemokratiet, Socialistisk Folkeparti, Centrum-Demokraterne, Det Radikale Venstre og Enhedslisten:
en gruppe på 80 medlemmer: Venstre, Det
Konservative Folkeparti, Dansk Folkeparti,
Fremskridtspartiet og Kristeligt Folkeparti.
Der foreligger indstilling fra grupperne om
disse valg. Navnene på de valgte vil blive optaget i Folketingets Registreringssystem og i
Folketingstidende.
Samtidig er der fra grupperne fremkommet
forslag om valg af formand og næstformand.
Der er kun bragt én i forslag til hver af disse
poster, og navnene er optaget i Folketingets
Registreringssystem og Folketlngstidende.
Skulle der inden kl. 12 i morgen komme indsigelse mod ét eller flere af valgene, vil der blive indkaldt til sættemøde i det pågældende udvalg.

44

Onsdag den 6. oktober 1999

Den første sag på dagsordenen var:
1) Valg af 16 medlemmer til Udvalget for Forretningsordenen.
Valgt blev:
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21

Ivar Hansen (V)
Ole Løvig Simonsen (S)
Henning Grove (KF)
Poul Nødgaard (DF)
Margrete Auken (SF)
Jacob Buksti (S)
Grete Schødts (S)
Jan Petersen (S)
Helge Mortensen (S)
Dorte Bennedsen (S)
Jes Lunde (SF)
Ame Melchior (CD)
Jette Gottlieb (EL)
Jørgen Estrup (RV)
Anders Fogh Rasmussen (V)
Birthe Rønn Hornbech (V)
Christian Mejdahl (V)
Bendt Bendtsen (KF)
Kristian Thulesen Dahl (DF)
Kirsten Jacobsen (FP)
Jann Sjursen (KRF)

(Udvalget for Forretningsordenen består af Folketingets Præsidium (nr. 1-5) tillige med 16
valgte medlemmer).";Henning Grove
16212;title_name;Ivar Hansen (V);Formand
16241;title_name;"Ole Løvig Simonsen (S)

Den næste sag på dagsordenen var:
2) Valg af 17 medlemmer til Udvalget til Valgs
Prøvelse.
Valgt blev:
1
2
3
4
5
6
7
8
9

Klaus Hækkerup (S)
Niels Bloch Jespersen (S)
Holger Graversen (S)
Karen J. Klint (S)
Lissa Mathiasen (S)
Christine Antorini (SF)
Dorit Myltoft (RV)
Jørn Pedersen (S)
Keld Albrechtsen (EL)

10
11
12
13
14
15
16
17

Erik Larsen (V)
Gyda Kongsted (V)
Karsten Nonbo (V)
Henriette Kjær (KF)
Jens Heimburger (KF)
Poul Nødgaard (DF)
Tom Behnke (FP)
Ole M. Nielsen (KRF)";Næstformand
16760;title_name;Erik Larsen (V);Formand
