split;reason;text;value
0;;"Fredag den 31. oktober 2014 (D)

10. møde";
79;Time;"Dagsorden
1) 2. behandling af lovforslag nr. L 4:
Forslag til lov om ændring af lov om afgift af elektricitet, lov om afgift af stenkul, brunkul og koks m.v., personskatteloven og forskellige andre love. (Tilbagerulning af forsyningssikkerhedsafgiften, nedsættelse af elvarmeafgiften, forhøjelse af elafgiften, tilpasning af afgiftsregler for VE-brændsler, forhøjelse af bundskatten og det skrå
skatteloft, nedsættelse af den grønne check og afgiftsforhøjelse på
cigarillos m.v.).
Af skatteministeren (Benny Engelbrecht).
(Fremsættelse 08.10.2014. 1. behandling 10.10.2014. Betænkning
29.10.2014).

1

Det eneste punkt på dagsordenen er:
1) 2. behandling af lovforslag nr. L 4:
Forslag til lov om ændring af lov om afgift af elektricitet, lov om
afgift af stenkul, brunkul og koks m.v., personskatteloven og forskellige andre love. (Tilbagerulning af forsyningssikkerhedsafgiften, nedsættelse af elvarmeafgiften, forhøjelse af elafgiften, tilpasning af afgiftsregler for VE-brændsler, forhøjelse af bundskatten og det skrå skatteloft, nedsættelse af den grønne check og
afgiftsforhøjelse på cigarillos m.v.).
Af skatteministeren (Benny Engelbrecht).
(Fremsættelse 08.10.2014. 1. behandling 10.10.2014. Betænkning
29.10.2014).";kl. 10.00
1315;Time;Forhandling;Kl. 10:01
1341;title_name;"Ønsker nogen at udtale sig?
Det er ikke tilfældet, så er forhandlingen sluttet, og vi går til afstemning.";Formanden
1456;Time;;Kl. 10:01
1467;Time;"Afstemning
Meddelelser fra formanden";Kl. 10:00
1518;title_name;"Mødet er åbnet.
I dag er der følgende anmeldelse:
Karina Lorentzen Dehnhardt (SF) m.fl.:
Beslutningsforslag nr. B 17 (Forslag til folketingsbeslutning om en
handleplan for en styrkelse af yderområderne).";Formanden
1735;title_name;"Ønskes afstemning om ændringsforslagene nr. 1-19, tiltrådt af udvalget?
De er vedtaget.
Jeg foreslår, at lovforslaget går direkte til tredje behandling uden
fornyet udvalgsbehandling. Hvis ingen gør indsigelse, betragter jeg
det som vedtaget.
Det er vedtaget.";Formanden
2034;name_party;:;Pia Olsen Dyhr
2046;Time;"Beslutningsforslag B nr. 18 (Forslag til folketingsbeslutning om udarbejdelse af en lighedsudredning).

Meddelelser fra formanden

Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk
(jf. ovenfor).";Kl. 10:01
2274;title_name;"Så er der ikke mere at foretage i dette møde.

Socialdemokratiets folketingsgruppe har meddelt mig, at den har udpeget medlem af Folketinget Pernille Rosenkrantz-Theil som stedfortræder for statsrevisor for den resterende del af indeværende
funktionsperiode i stedet for medlem af Folketinget Henrik Dam
Kristensen.

Folketingets næste møde afholdes i dag, den 31. oktober 2014, kl.
10.15.
Jeg henviser til den dagsorden, der fremgår af Folketingets hjemmeside.
Mødet er hævet. (Kl. 10:01).";Formanden
