split;reason;text;value
0;;"Tirsdag den 15. januar 2013 (D)

1

Forespørgsel nr. F 20 (Hvad kan regeringen oplyse om retstilstanden
i Kommunistkina – herunder bl.a. om kz-lejre, henrettelse af politiske og religiøse fanger, salg af organer fra henrettede, ytringsfrihedens kår, korruption og nepotisme, undertrykkelsen af tibetanerne
etc. – og hvilke skridt agter regeringen at foretage sig i den forbindelse?).

42. møde";
431;Time;"Dagsorden
1) Fortsættelse af forespørgsel nr. F 9 [afstemning]:
Forespørgsel til ministeren for by, bolig og landdistrikter om regeringens politik for yderområder og øer.
Af Mette Hjermind Dencker (DF) m.fl.
(Anmeldelse 07.11.2012. Fremme 13.11.2012. Forhandling
11.01.2013. Forslag til vedtagelse nr. V 18 af Mette Hjermind Dencker (DF), Thomas Danielsen (V), Leif Mikkelsen (LA) og Mai
Henriksen (KF). Forslag til vedtagelse nr. V 19 af Lennart DamsboAndersen (S), Andreas Steenberg (RV), Eigil Andersen (SF) og Lars
Dohn (EL)).
2) Spørgsmål om fremme af forespørgsel nr. F 18:
Forespørgsel til ministeren for forskning, innovation og videregående uddannelser om sikring af kvaliteten på de videregående uddannelser.
Af Rosa Lund (EL) og Pernille Skipper (EL).
(Anmeldelse 10.01.2013).
3) Spørgsmål om fremme af forespørgsel nr. F 19:
Forespørgsel til transportministeren om priserne på kollektiv transport.
Af Kristian Pihl Lorentzen (V), Leif Mikkelsen (LA) og Mike Legarth (KF).
(Anmeldelse 10.01.2013).";kl. 13.00
1451;Time;"Titlerne på de anmeldte sager fremgår også af www.folketingstidende.dk (jf. ovenfor).

Det første punkt på dagsordenen er:
1) Fortsættelse af forespørgsel nr. F 9 [afstemning]:
Forespørgsel til ministeren for by, bolig og landdistrikter om regeringens politik for yderområder og øer.
Af Mette Hjermind Dencker (DF) m.fl.
(Anmeldelse 07.11.2012. Fremme 13.11.2012. Forhandling
11.01.2013. Forslag til vedtagelse nr. V 18 af Mette Hjermind Dencker (DF), Thomas Danielsen (V), Leif Mikkelsen (LA) og Mai
Henriksen (KF). Forslag til vedtagelse nr. V 19 af Lennart DamsboAndersen (S), Andreas Steenberg (RV), Eigil Andersen (SF) og Lars
Dohn (EL)).";Kl. 13:00
2106;Time;Afstemning;Kl. 13:01
2130;title_name;"Forhandlingen er sluttet, og vi går til afstemning om de fremsatte
forslag til vedtagelse. Der foreligger to forslag.
Der stemmes først om forslag til vedtagelse nr. V 19 af Lennart
Damsbo-Andersen (S), Andreas Steenberg (RV), Eigil Andersen
(SF) og Lars Dohn (EL), og vi kan stemme nu.
Jeg slutter afstemningen.

Meddelelser fra formanden

For stemte 54 (S, RV, SF og EL), imod stemte 49 (V, DF, LA og
KF), hverken for eller imod stemte 0.";Formanden
2583;title_name;"Mødet er åbnet.

Forslag til vedtagelse nr. V 19 er vedtaget.

I dag er der følgende anmeldelser:

Herefter er forslag til vedtagelse nr. V 18 af Mette Hjermind Dencker (DF), Thomas Danielsen (V), Leif Mikkelsen (LA) og Mai
Henriksen (KF) bortfaldet.";Formanden
2869;title_name;":
Dermed er forespørgslen afsluttet.
Beslutningsforslag nr. B 49 (Forslag til folketingsbeslutning om
dansk militært bidrag til støtte for indsatsen i Mali).
Søren Espersen (DF) m.fl.:

2

Tirsdag den 15. januar 2013 (FM )

Det næste punkt på dagsordenen er:
2) Spørgsmål om fremme af forespørgsel nr. F 18:
Forespørgsel til ministeren for forskning, innovation og videregående uddannelser om sikring af kvaliteten på de videregående
uddannelser.
Af Rosa Lund (EL) og Pernille Skipper (EL).
(Anmeldelse 10.01.2013).
Sammen med dette punkt foretages:
3) Spørgsmål om fremme af forespørgsel nr. F 19:
Forespørgsel til transportministeren om priserne på kollektiv
transport.
Af Kristian Pihl Lorentzen (V), Leif Mikkelsen (LA) og Mike Legarth (KF).
(Anmeldelse 10.01.2013).";Villy Søvndal
3650;Time;;Kl. 13:02
3663;title_name;"Hvis ingen gør indsigelse mod fremme af disse forespørgsler, betragter jeg Tingets samtykke som givet.
Det er givet.";Formanden
3790;Time;Meddelelser fra formanden;Kl. 13:03
3829;title_name;"Vi har en lidt kompliceret dagsorden i dag.
Der er ikke mere at foretage i dette møde.
Folketingets næste møde afholdes i dag kl. 13.10.
Jeg skal anmode medlemmerne om at blive på deres pladser, for
vi indleder mødet med en afstemning om dispensation.
Mødet er hævet. (Kl. 13:03).";Formanden
