split;reason;text;value
0;;"Fredag den 7. oktober 2011 (D)

1

en gruppe på 87 medlemmer: Venstre (V), Dansk Folkeparti
(DF), Liberal Alliance (LA), Det Konservative Folkeparti (KF) og
Sambandsflokkurin (SP).
Der foreligger indstilling fra grupperne om disse navne. Navnene
på de valgte kan findes på Folketingets hjemmeside og i Folketingstidende.
Samtidig er der fra grupperne fremkommet forslag om valg af
formand og næstformand i udvalgene. Der er kun bragt én i forslag
til hver af disse poster, og navnene bliver optaget i Folketingstidende.

3. møde";
565;Time;"Dagsorden
1) Valg til stående udvalg m.v.

[Valg af 16 medlemmer til Udvalget for Forretningsordenen.";kl. 15.00
677;Time;Meddelelser fra formanden;Kl. 15:00
716;title_name;"Mødet er åbnet.
Fra statsministeren har jeg modtaget meddelelse om ændring af ressortansvar.
Meddelelsen vil blive optaget i Folketingstidende.
[»Folketingets Formand
Efter statsministerens indstilling er det ved kongelig resolution af 5.
oktober 2011 bestemt, at ressortansvaret for erhvervsakademiuddannelserne inklusive de til området hørende institutioner og SU-området overføres fra børne- og undervisningsministeren til ministeren
for forskning, innovation og videregående uddannelser.
Kopi af den pågældende kongelige resolution vedlægges til orientering.

Valgt blev:
1 Mogens Lykketoft (S)
2 Bertel Haarder (V)
3 Marianne Jelved (RV)
4 Søren Espersen (DF)
5 Holger K. Nielsen (SF)
6 John Dyrby Paulsen (S)
7 Karen J. Klint (S)
8 Maja Panduro (S)
9 Mogens Jensen (S)
10 Torben Hansen (S)
11 Lotte Rod (RV)
12 Pernille Vigsø Bagge (SF)
13 Per Clausen (EL)
14 Birthe Rønn Hornbech (V)
15 Kristian Jensen (V)
16 Flemming Damgaard Larsen (V)
17 Lars Christian Lilleholt (V)
18 Kristian Thulesen Dahl (DF)
19 Peter Skaarup (DF)
20 Simon Emil Ammitzbøll (LA)
21 Lars Barfoed (KF)

Jeg beder formanden underrette Folketinget herom.
(Udvalget for Forretningsordenen består af Folketingets Præsidium
(nr. 1-5) tillige med 16 valgte medlemmer).

Sign.: Helle Thorning Schmidt
/Mohammad Ahsar«].";Formanden
2019;title_name;Mogens Lykketoft (S);Formand
2053;title_name;"Bertel Haarder (V)
Valg af 17 medlemmer til Udvalget til Valgs Prøvelse.
Det eneste punkt på dagsordenen er:
1) Valg til stående udvalg m.v.

Valgt blev:";Næstformand
2216;Time;;Kl. 15:00
2229;title_name;"Til disse valg er anmeldt følgende valggrupper:
en gruppe på 92 medlemmer: Socialdemokratiet (S), Det Radikale Venstre (RV), Socialistisk Folkeparti (SF), Enhedslisten (EL),
Javnaðarflokkurin (JF), Inuit Ataqatigiit (IA) og Siumut (SIU),

1 Julie Skovsby (S)
2 Karen J. Klint (S)
3 Ane Halsboe-Larsen (S)
4 Maja Panduro (S)
5 Thomas Jensen (S)
6 Marianne Jelved (RV)
7 Anne Baastrup (SF)

2

Fredag den 7. oktober 2011 (FM )

8 Frank Aaen (EL)
9 Pernille Skipper (EL)
10 Peter Christensen (V)
11 Peter Juel Jensen (V)
12 Torsten Schack Pedersen (V)
13 Hans Christian Thoning (V)
14 Bent Bøgsted (DF)
15 Hans Kristian Skibby (DF)
16 Leif Mikkelsen (LA)
17 Mike Legarth (KF)";Formanden
2912;title_name;Peter Juel Jensen (V);Formand
2947;title_name;"Julie Skovsby (S)
Valg af 29 medlemmer til Arbejdsmarkedsudvalget (som ændres
til Beskæftigelsesudvalget).
Valgt blev:
1 Ane Halsboe-Larsen (S)
2 Bjarne Laustsen (S)
3 Henrik Sass Larsen (S)
4 Jan Johansen (S)
5 Leif Lahn Jensen (S)
6 Lennart Damsbo-Andersen (S)
7 Pernille Rosenkrantz-Theil (S)
8 Nadeem Farooq (RV)
9 Andreas Steenberg (RV)
10 Camilla Hersom (RV)
11 Eigil Andersen (SF)
12 Özlem Sara Cekic (SF)
13 Annette Vilhelmsen (SF)
14 Christian Juhl (EL)
15 Finn Sørensen (EL)
16 Hans Andersen (V)
17 Louise Schack Elholm (V)
18 Claus Hjort Frederiksen (V)
19 Jacob Jensen (V)
20 Peter Juel Jensen (V)
21 Inger Støjberg (V)
22 Ulla Tørnæs (V)
23 Fatma Øktem (V)
24 Bent Bøgsted (DF)
25 Jens Henrik Thulesen Dahl (DF)
26 Karin Nødgaard (DF)
27 Pia Adelsteen (DF)
28 Joachim B. Olsen (LA)
29 Mai Henriksen (KF)";Næstformand
3773;title_name;Lennart Damsbo-Andersen (S);Formand
3814;title_name;"Bent Bøgsted (DF)
Valg af 29 medlemmer til Boligudvalget (som ændres til By- og
Boligudvalget).
Valgt blev:
1 Bjarne Laustsen (S)
2 Jan Johansen (S)
3 Jens Joel (S)
4 Mette Reissmann (S)
5 Simon Kollerup (S)
6 Sophie Hæstorp Andersen (S)
7 Thomas Jensen (S)
8 Liv Holm Andersen (RV)

9 Lone Loklindt (RV)
10 Rasmus Helveg Petersen (RV)
11 Karina Lorentzen Dehnhardt (SF)
12 Özlem Sara Cekic (SF)
13 Anne Baastrup (SF)
14 Lars Dohn (EL)
15 Rosa Lund (EL)
16 Louise Schack Elholm (V)
17 Martin Geertsen (V)
18 Jane Heitmann (V)
19 Preben Bang Henriksen (V)
20 Michael Aastrup Jensen (V)
21 Karen Jespersen (V)
22 Karsten Lauritzen (V)
23 Mads Rørvig (V)
24 Karina Adsbøl (DF)
25 Alex Ahrendtsen (DF)
26 Mette Hjermind Dencker (DF)
27 Dennis Flydtkjær (DF)
28 Ole Birk Olesen (LA)
29 Benedikte Kiær (KF)";Næstformand
4624;title_name;Mette Reissmann (S);Formand
4657;title_name;"Karen Jespersen (V)
Valg af 29 medlemmer til Det Energipolitiske Udvalg (som ændres til Klima-, Energi- og Bygningsudvalget).
Valgt blev:
1 Henrik Sass Larsen (S)
2 Jens Joel (S)
3 Karin Gaardsted (S)
4 Ole Hækkerup (S)
5 Pernille Rosenkrantz-Theil (S)
6 Mogens Jensen (S)
7 Torben Hansen (S)
8 Rasmus Helveg Petersen (RV)
9 Lone Loklindt (RV)
10 Lotte Rod (RV)
11 Steen Gade (SF)
12 Pernille Vigsø Bagge (SF)
13 Per Clausen (EL)
14 Christian Juhl (EL)
15 Lars Dohn (EL)
16 Thomas Danielsen (V)
17 Henrik Høegh (V)
18 Jacob Jensen (V)
19 Lars Christian Lilleholt (V)
20 Ellen Trane Nørby (V)
21 Ulla Tørnæs (V)
22 Eyvind Vesselbo (V)
23 Mikkel Dencker (DF)
24 Jens Henrik Thulesen Dahl (DF)
25 René Christensen (DF)
26 Kristian Thulesen Dahl (DF)
27 Villum Christensen (LA)
28 Mike Legarth (KF)
29 Mai Henriksen (KF)";Næstformand
5483;title_name;Steen Gade (SF);Formand
5512;title_name;"Thomas Danielsen (V)
Valg af 29 medlemmer til Erhvervsudvalget (som ændres til Erhvervs-, Vækst- og Eksportudvalget).

Fredag den 7. oktober 2011 (FM )

Valgt blev:
1 Benny Engelbrecht (S)
2 Jacob Bjerregaard (S)
3 Jan Johansen (S)
4 Mette Reissmann (S)
5 Karin Gaardsted (S)
6 Trine Bramsen (S)
7 Simon Kollerup (S)
8 Andreas Steenberg (RV)
9 Nadeem Farooq (RV)
10 Camilla Hersom (RV)
11 Annette Vilhelmsen (SF)
12 Steen Gade (SF)
13 Frank Aaen (EL)
14 Henning Hyllested (EL)
15 Johanne Schmidt-Nielsen (EL)
16 Kim Andersen (V)
17 Gitte Lillelund Bech (V)
18 Anne-Mette Winther Christiansen (V)
19 Preben Bang Henriksen (V)
20 Torsten Schack Pedersen (V)
21 Mads Rørvig (V)
22 Hans Christian Schmidt (V)
23 Hans Christian Thoning (V)
24 Hans Kristian Skibby (DF)
25 Dennis Flydtkjær (DF)
26 Mette Hjermind Dencker (DF)
27 Kim Christiansen (DF)
28 Ole Birk Olesen (LA)
29 Brian Mikkelsen (KF)";Næstformand
