split;reason;text;value
0;;"(1)
Tirsdag den 22. februar 2005 (Valg)

1. m ø d e";
90;Time;"Dagsorden
1) Valg af midlertidig formand.
2) Nedsættelse af et foreløbigt udvalg på 21
medlemmer til prøvelse af valgene.

1

at bestemme, at ledelsen af de under Ministeriet
for Familie- og Forbrugeranliggender hørende
forretninger fra dags dato og indtil videre overdrages til økonomi- og erhvervsminister Bendt
Bendtsen.
Jeg tillader mig at anmode formanden om at underrette Folketinget herom.
Med venlig hilsen
Anders Fogh Rasmussen
/ Sten Frimodt Nielsen«
Fra statsministeren har jeg desuden modtaget
følgende skrivelse af 18. februar 2005:

Den første sag på dagsordenen var:
1) Valg af midlertidig formand.";kl. 12.00
734;title_name;":
Jeg vil gerne byde nyvalgte og genvalgte medlemmer velkommen. ^
I henhold til grundloven er Folketinget i dag
trådt sammen til sit første møde efter valget den
8. februar 2005.
Som det medlem, der længst har haft sæde i
Tinget, påhviler det mig at lede valget af midlertidig formand for Folketinget.
Til midlertidig formand har alle grupper og
medlemmer af Tinget undtagen Enhedslisten
indstillet hr. Christian Mejdahl. Der foreligger
ikke andre indstillinger. Hvis ingen begærer af-'
stemning, vil jeg betragte indstillingen som vedtaget. (Ophold). Den er vedtaget.
Jeg beder den midlertidige formand om at
overtage formandspladsen.";Svend Auken
1414;title_name;":
Jeg takker for valget til midlertidig formand og
byder alle velkommen til arbejdet her i Tinget.
Fra statsministeren har jeg modtaget følgende
skrivelse af 16. februar 2005:
»Efter statsministerens indstilling er det ved
kongelig resolution af 16. februar 2005 besluttet
at afskedige i nåde minister for familie- og forbrugeranliggender Henriette Kjær fra den hende
hidtil betroede ministerstilling, samt

»Efter statsministerens indstilling er det ved
kongelig resolution af 18. februar 2005 besluttet
at afskedige i nåde kirkeminister Tove Fergo,
Kommandør af Dannebrogordenen, fra den hen-홢
de hidtil betroede ministerstilling:
at fritage minister for flygtninge, indvandrere og'
integration samt minister for udviklingsbistand
Bertel Geismar Haarder, Kommandør af 1. grad
af Dannebrogordenen, for disse stillinger:
at fritage trafikminister og minister for nordisk
samarbejde Flemming Hansen, Kommandør af
Dannebrogordenen, for stillingen som minister
for nordisk samarbejde:
at fritage undervisningsminister Ulla Tørnæs,
Kommandør af Dannebrogorderien, for denhe
stilling:
at bestemme,
at ressortansvaret for sager vedrørende energilovgivningen overføres fra økonomi-og erhvervsministeren til trafikministeren med den
bemærkning, at Energitilsynet fortsat sekretariatsbetjenes af Konkurrencestyrelsen:
at bestemme,
at ressortansvaret for sager vedrørende statens
ejerskab af Gastra A/S overføres fra finansmini- ""
steren til trafikministeren:
at bestemme,
at betegnelsen for Trafikministeriet ændres til
Trafik- og Energiministeriet:

2

Tirsdag den 22. februar 2005 (Valg)

at udnævne minister for flygtninge, indvandrere
og integration samt minister for udviklingsbistand Bertel Geismar Haarder, Kommandør af 1.
grad af Dannebrogordenen, til undervisningsminister og kirkeminister:

rigsministeriet under ledelse af ministeren for
nordisk samarbejde og på hendes ansvar.

at udnævne trafikminister og minister for nordisk samarbejde Flemming Hansen, Kommandør af Dannebrogordenen, til trafik- og energiminister:

Med venlig hilsen

Jeg tillader mig at anmode formanden om at underrette Folketinget herom.

Anders Fogh Rasmussen
/ Sten Frimodt Nielsen«

at udnævne undervisningsminister Ulla Tørnæs,
Kommandør af Dannebrogordenen, til minister
for udviklingsbistand:
at udnævne miljøminister Connie Hedegaard til
minister for nordisk samarbejde, således at hun
tillige fortsat beklæder stillingen som miljøminister:
at udnævne medlem af Folketinget Rikke Hvilshøj til minister for flygtninge, indvandrere og integration:
at udnævne medlem af Folketinget Lars Barfoed, Ridder af Dannebrogordenen, til minister
for familie- og forbrugeranliggender, som hermed overtager ansvaret for ledelsen af de under
Ministeriet for Familie- og Forbrugeranliggender hørende forretninger, der i medfør af kongelig resolution af 16. februar 2005 midlertidigt var
overdraget til økonomi- og erhvervsministeren:
at bestemme,
at ressortansvaret for sager vedrørende regulering af registrering af køretøjer m.v. - som omhandlet i færdselslovens § 72 - § 75, § 88 a, stk. l,
for så vidt angår fritagelse for betaling af nummerplader, § 124 h - § 124 p samt § 124 q for så
vidt angår betalinger, der sker i henhold til disse
bestemmelser - overføres fra justitsministeren til";Christian Mejdahl
4694;title_name;"at bestemme,
at ressortansvaret for sager vedrørende lov om
svangerskabsafbrydelse og fosterreduktion, lov
om sterilisation og kastration samt lov om ligsyn, obduktion og transplantation m.v. overføres fra justitsministeren til indenrigs- og sundhedsministeren, samt
at bestemme,
at den departementale ekspedition af sager vedrørende nordisk samarbejde fortsat sker i Uden-

Den sidste sag på dagsordenen var:
2) Nedsættelse af et foreløbigt udvalg på 21
medlemmer til prøvelse af valgene.";skatteministeren
5228;title_name;":
I henhold til forretningsordenens § 1, stk. 2, skal
der i dette møde nedsættes et foreløbigt udvalg
på 21 medlemmer til prøvelse af valgene.
Der er til dette valg anmeldt følgende valggrupper:
en gruppe på 95 medlemmer: Venstre, Dansk
Folkeparti, Det Konservative Folkeparti og Fólkaflokkurin:
en gruppe på 84 medlemmer: Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti, Enhedslisten, Tjööveldisflokkurin, Inuit Ataqatigiit og Siumut.
Valgt blev:
1 Gitte Lillelund Bech (V)
2 Flemming Damgaard Larsen (V)
3 Jørgen Winther (V)
4 Tina Nedergaard (V)
5 Anne-Mette Winther Christiansen (V)
6 Torsten Schack Pedersen (V)
7 Poul Nødgaard (DF)
8 Peter Skaarup (DF)
9 Christian H. Hansen (DF)
10 Allan Niebuhr (KF)
11 Christian Wedell-Neergaard (KF)
12 Arne Toft (S)
13 Karen J. Klint (S)
14 Klaus Hækkerup (S)
15 Lissa Mathiasen (S)
16 Pia Gjellerup (S)
17 Niels Helveg Petersen (RV)
18 Marianne Jelved (RV)

' Tirsdag den 22. februar 2005 (Valg)

3

19 Anne Baastrup (SF)
20 Line Barfod (EL)
21 Lars-Emil Johansen (SIU)

anledning af det afholdte folketingsvalg, og hele
materialet vil blive tilstillet det netop nedsatte
Udvalg til Prøvelse af Valgene.";Christian Mejdahl
6405;title_name;Gitte Lillelund Bech (V);Formand
6443;title_name;"Karen J. Klint (S)

Der er ikke mere på dagsordenen.

Meddelelser fra formanden";Næstformand
6567;title_name;":
Fra indenrigs- og sundhedsministeren har jeg
modtaget en række skrivelser med materiale i

Folketingets næste møde afholdes i morgen,
onsdag den 23. februar 2005, kl. 13.00
Angående dagsordenen skal jeg henvise til
den dagsorden, der er opslået i salen.
Mødet hævet kl. 12.04";Christian Mejdahl
