split;reason;text;value
0;;"Tirsdag den 26. januar 2021 (D)

1

Beslutningsforslag nr. B 126 (Forslag til folketingsbeslutning om
at give unge i efterværn ret til at modtage su, mens de er under
uddannelse).

54. møde

Morten Messerschmidt (DF) m.fl.:";
262;Time;"Beslutningsforslag nr. B 127 (Forslag til folketingsbeslutning om
stop for det tyrkiske religionsministeriums aktiviteter på dansk jord).

Dagsorden
1) Eventuelt: 2. behandling af lovforslag nr. L 139:
Forslag til lov om rentefrie lån svarende til indberettet A-skat og ar‐
bejdsmarkedsbidrag og udskydelse af betalingsfrist for registrerings‐
afgift af motorkøretøjer i forbindelse med covid-19.
Af skatteministeren (Morten Bødskov).
(Fremsættelse 15.01.2021. 1. behandling 21.01.2021. Betænkning
25.01.2021. Omtrykt).

Rosa Lund (EL), Kristian Hegaard (RV), Karina Lorentzen Dehn‐
hardt (SF), Torsten Gejl (ALT) og Sikandar Siddique (UFG) m.fl.:
Beslutningsforslag nr. B 128 (Forslag til folketingsbeslutning om at
hente danske børn fra flygtningelejre i Syrien til Danmark).
Kristian Hegaard (RV) og Sofie Carsten Nielsen (RV):
Beslutningsforslag nr. B 129 (Forslag til folketingsbeslutning om
udvidelse af området for ydelse af tortgodtgørelse).";kl. 13.00
1224;Time;;Kl. 13:00
1244;name_party;":
Meddelelser fra formanden";Torsten Gejl
1305;title_name;":
Mødet er åbnet.
Jeg skal gøre opmærksom på, at i det første møde her forventer vi
ingen afstemning. Afstemninger vil finde sted i det næste møde kl.
13.20.
I dag er der følgende anmeldelser:
Indenrigs- og boligministeren (Kaare Dybvad Bek):
Lovforslag nr. L 144 (Forslag til lov om forebyggelse af smitte med
covid-19 når arbejdsgivere stiller bolig til rådighed for ansatte).
Beskæftigelsesministeren (Peter Hummelgaard):
Lovforslag nr. L 145 (Forslag til lov om pligt til at sikre covid-19test af tilrejsende arbejdskraft efter indrejse i Danmark) og
Lovforslag nr. L 146 (Forslag til lov om varsling af ferie m.v. som
følge af den genindførte lønkompensationsordning i forbindelse med
håndteringen af covid-19).
Hans Kristian Skibby (DF) m.fl.:
Beslutningsforslag nr. B 125 (Forslag til folketingsbeslutning om
lige konkurrencevilkår blandt netbutikker).
Jens Henrik Thulesen Dahl (DF) m.fl.:

Beslutningsforslag nr. B 130 (Forslag til folketingsbeslutning om at
aflyse prøver og eksamener i grundskolerne og på ungdomsuddan‐
nelserne m.v.).";Henrik Dam Kristensen
2399;name_party;":
Forespørgsel nr. F 38 (Hvad kan statsministeren – på baggrund af
Twitters og Facebooks permanente udelukkelse af USA's tidligere
præsident Donald Trump – oplyse om regeringens holdning til poli‐
tisk censur på de sociale medier, herunder om det er regeringens
holdning, at store internationale selskaber med en håndfuld topdirek‐
tører skal kunne styre, hvem der kan komme til orde i mediebilledet
og dermed deltage i den demokratiske debat?).
Titlerne på de anmeldte sager vil fremgå af www.folketingstiden‐
de.dk (jf. ovenfor).";Morten Messerschmidt
2940;Time;Samtykke til behandling;Kl. 13:01
2999;title_name;":
Det punkt, som er opført som nr. 1 på dagsordenen, kan kun med
Tingets samtykke behandles i dette møde. Og hvis ingen gør indsi‐
gelse, betragter jeg samtykket som givet.
Det er givet.

2

Tirsdag den 26. januar 2021 (FM )

Det eneste punkt på dagsordenen er:
1) 2. behandling af lovforslag nr. L 139:
Forslag til lov om rentefrie lån svarende til indberettet A-skat
og arbejdsmarkedsbidrag og udskydelse af betalingsfrist for re‐
gistreringsafgift af motorkøretøjer i forbindelse med covid-19.
Af skatteministeren (Morten Bødskov).
(Fremsættelse 15.01.2021. 1. behandling 21.01.2021. Betænkning
25.01.2021. Omtrykt).";Henrik Dam Kristensen
3629;Time;Forhandling;Kl. 13:01
3676;title_name;":
Der er stillet ændringsforslag.
Ønsker nogen at udtale sig?
Da det ikke er tilfældet, er forhandlingen sluttet, og vi går til
afstemning.";Henrik Dam Kristensen
3825;Time;Afstemning;Kl. 13:02
3871;title_name;":
Ønskes afstemning om ændringsforslag nr. 1, tiltrådt af et flertal
(udvalget med undtagelse af Simon Emil Ammitzbøll-Bille (UFG)),
om, at lovforslaget deles i to lovforslag?
Delingen af lovforslaget i to lovforslag er vedtaget.
Der stemmes herefter om det under A nævnte lovforslag [Forslag
til lov om rentefrie lån svarende til indberettet A-skat og arbejdsmar‐
kedsbidrag i forbindelse med covid-19]:
Ønskes afstemning om ændringsforslag nr. 2, tiltrådt af et flertal
(udvalget med undtagelse af Simon Emil Ammitzbøll-Bille (UFG))?
Det er vedtaget.
Der stemmes herefter om det under B nævnte lovforslag [Forslag
til lov om ændring af opkrævningsloven. (Udskydelse af betalings‐
frist for registreringsafgift af motorkøretøjer i forbindelse med co‐
vid-19)]:
Ønskes afstemning om ændringsforslag nr. 3, tiltrådt af et flertal
(udvalget med undtagelse af Simon Emil Ammitzbøll-Bille (UFG))?
Det er vedtaget.
Jeg foreslår, at det under A nævnte lovforslag går direkte til tredje
behandling uden fornyet udvalgsbehandling. Og hvis ingen gør ind‐
sigelse, betragter jeg det som vedtaget.
Det er vedtaget.
Der er stillet forslag om, at det under B nævnte lovforslag henvises
til fornyet udvalgsbehandling. Og hvis ingen gør indsigelse, betrag‐
ter jeg det som vedtaget.
Det er vedtaget.";Henrik Dam Kristensen
5166;Time;Meddelelser fra formanden;Kl. 13:03
5227;title_name;":
Der er ikke mere at foretage i dette møde.

Folketingets næste møde afholdes i dag kl. 13.20.
Mødet er hævet. (Kl. 13:03).";Henrik Dam Kristensen
