split;reason;text;value
0;;"Torsdag den 30. april 2020 (D)

1

Det første punkt på dagsordenen er:
1) 2. behandling af lovforslag nr. L 171:
Forslag til lov om ændring af SU-loven. (Udvidet mulighed for
slutlån som følge af covid-19).
Af uddannelses- og forskningsministeren (Ane Halsboe-Jørgensen).
(Fremsættelse 21.04.2020. 1. behandling 23.04.2020. Betænkning
28.04.2020. Omtrykt).

102. møde";
404;Time;Dagsorden;kl. 10.00
425;Time;"1) 2. behandling af lovforslag nr. L 171:
Forslag til lov om ændring af SU-loven. (Udvidet mulighed for
slutlån som følge af covid-19).
Af uddannelses- og forskningsministeren (Ane Halsboe-Jørgensen).
(Fremsættelse 21.04.2020. 1. behandling 23.04.2020. Betænkning
28.04.2020. Omtrykt).
2) 2. behandling af lovforslag nr. L 175:
Forslag til lov om rentefrie lån svarende til angivet moms og løn‐
sumsafgift og fremrykket udbetaling af skattekreditter m.v. i forbin‐
delse med covid-19.
Af skatteministeren (Morten Bødskov).
(Fremsættelse 21.04.2020. 1. behandling 23.04.2020. Betænkning
28.04.2020).";Kl. 10:00
1036;Time;"Meddelelser fra formanden

Forhandling";Kl. 10:00
1111;title_name;":
Før vi går i gang med forhandlingen, skal jeg gøre opmærksom på,
at vi i Præsidiet har besluttet at ændre måden, hvorpå forhandlingen
gennemføres. Ændringen indebærer, at alle taler – det gælder både
minister- og ordførertaler og de korte bemærkninger – bliver afviklet
fra medlemmernes pladser. Af hensyn til udarbejdelsen af referatet
er det meget vigtigt, at man ikke begynder at tale, før den røde ring
på ens mikrofon lyser. Man vil som normalt kunne se den resterende
taletid nederst til højre i afstemningspanelet.
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, er forhandlingen sluttet.
Jeg foreslår, at lovforslaget går direkte til tredje behandling uden
fornyet udvalgsbehandling. Hvis ingen gør indsigelse, betragter jeg
det som vedtaget.
Det er vedtaget.";Pia Kjærsgaard
1971;title_name;":
Mødet er åbnet.
I dag er der følgende anmeldelser:
Marcus Knuth (KF) m.fl.:
Beslutningsforslag nr. B 163 (Forslag til folketingsbeslutning om at
indføre skærpede krav for danskkundskaber ved tildeling af statsbor‐
gerskab).";Pia Kjærsgaard
2232;name_party;":
Forespørgsel nr. F 58 (Vil regeringen på baggrund af Danske Regi‐
oners fremlagte prioriteringsplan for oprydning af generationsforur‐
eninger fremlægge regeringens initiativer for håndtering af generati‐
onsforureninger og øvrige jordforureninger i Danmark?).
Titlerne på de anmeldte sager vil fremgå af www.folketingstiden‐
de.dk (jf. ovenfor).

Det sidste punkt på dagsordenen er:
2) 2. behandling af lovforslag nr. L 175:
Forslag til lov om rentefrie lån svarende til angivet moms og
lønsumsafgift og fremrykket udbetaling af skattekreditter m.v. i
forbindelse med covid-19.
Af skatteministeren (Morten Bødskov).
(Fremsættelse 21.04.2020. 1. behandling 23.04.2020. Betænkning
28.04.2020).";Jacob Jensen
2936;Time;Forhandling;Kl. 10:01
2984;title_name;":
Der er stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, er forhandlingen sluttet, og vi går til
afstemning.

2

Torsdag den 30. april 2020 (FM )";Pia Kjærsgaard
3184;Time;Afstemning;Kl. 10:02
3231;title_name;":
Ønskes afstemning om ændringsforslag nr. 1-6, tiltrådt af udvalget?
De er vedtaget.
Jeg foreslår, at lovforslaget går direkte til tredje behandling uden
fornyet udvalgsbehandling. Hvis ingen gør indsigelse, betragter jeg
dette som vedtaget.
Det er vedtaget.";Pia Kjærsgaard
3501;Time;Meddelelser fra formanden;Kl. 10:02
3563;title_name;":
Der er ikke mere at foretage i dette møde.
Folketingets næste møde afholdes i dag, torsdag den 30. april 2020,";Pia Kjærsgaard
3685;Time;", hvor vi begynder med afstemning vedrørende F 57 og
tredjebehandlingerne af L 171 og L 175.
Mødet er hævet. (Kl. 10:03).";kl. 10.20
