Laurits Lynnerup Nielsen;Danmarks Kommunistiske Parti;1957
Peter Nielsen;Socialdemokratiet;1957
Poul Nilsson;Socialdemokratiet;1957
Erik Ninn-Hansen;Det Konservative Folkeparti;1957
Arnold Christian Normann;Det Radikale Venstre;1957
Viola Nørløv;Socialdemokratiet;1957
Søren Olesen;Retsforbundet;1957
Lars M Olsen;Socialdemokratiet;1957
Axel Ivan Pedersen;Socialdemokratiet;1957
Gustav Pedersen;Socialdemokratiet;1957
Helga Pedersen;Venstre;1957
Jacob Pedersen;Det Konservative Folkeparti;1957
Jens Magnus Pedersen;Retsforbundet;1957
Oluf Pedersen;Retsforbundet;1957
Sofie Pedersen;Socialdemokratiet;1957
Carl Petersen;Socialdemokratiet;1957
Petra Petersen;Danmarks Kommunistiske Parti;1957
Thorstein Petersen;Fólkaflokkurin;1957
Aage Petersen;Det Konservative Folkeparti;1957
Johan M Fr Poulsen;Sambandsflokkurin;1957
R Chr Paabøl;Venstre;1957
Carsten Raft;Det Konservative Folkeparti;1957
Hans Rasmussen;Socialdemokratiet;1957
P Rasmussen;Socialdemokratiet;1957
Niels Peter Ravn;Socialdemokratiet;1957
Axel Reedtz-Thott;Det Konservative Folkeparti;1957
Emil Retoft;Socialdemokratiet;1957
Edel Saunte;Socialdemokratiet;1957
Hans Schmidt;Slevigsk Parti;1957
Astrid Skjoldbo;Socialdemokratiet;1957
Karl Skytte;Det Radikale Venstre;1957
Frederik Slipsager;Det Radikale Venstre;1957
Viggo Starcke;Retsforbundet;1957
Johan Strøm;Socialdemokratiet;1957
Jens Sønderup;Venstre;1957
Adolph Sørensen;Det Konservative Folkeparti;1957
Axel Sørensen;Det Radikale Venstre;1957
Erna Sørensen;Det Konservative Folkeparti;1957
H K Sørensen;Det Konservative Folkeparti;1957
Poul Sørensen;Det Konservative Folkeparti;1957
Knud Thestrup;Det Konservative Folkeparti;1957
Knud Tholstrup;Retsforbundet;1957
Chr Thomsen;Socialdemokratiet;1957
Poul Thomsen;Det Konservative Folkeparti;1957
Hans Carl Toft;Det Konservative Folkeparti;1957
Gertie Wandel;Det Konservative Folkeparti;1957
Ove Weikop;Det Konservative Folkeparti;1957
Else Zeuthen;Det Radikale Venstre;1957
Olav Øllgaard;Venstre;1957
Kristen Østergaard;Venstre;1957
Kristian Albertsen;Socialdemokratiet;1960
Kristen Amby;Det Konservative Folkeparti;1960
Alsing Andersen;Socialdemokratiet;1960
Anders Andersen;Venstre;1960
K B Andersen;Socialdemokratiet;1960
Nina Andersen;Socialdemokratiet;1960
Søren Peter Andersen;Venstre;1960
Kaj Andresen;Socialdemokratiet;1960
Hilmar Baunsgaard;Det Radikale Venstre;1960
Arne Bertelsen;De Uafhængige;1960
Jens Bladt;Socialdemokratiet;1960
Julius Bomholt;Socialdemokratiet;1960
Vagn Bro;Venstre;1960
Holger Brodthagen;Socialdemokratiet;1960
Hanne Budtz;Det Konservative Folkeparti;1960
Kaj Bundvad;Socialdemokratiet;1960
Ejnar Bækgaard;De Uafhængige;1960
Alfred Bøgh;Venstre;1960
Hans Baagø;Det Konservative Folkeparti;1960
Henry Christensen;Venstre;1960
Jens Chr Christensen;Venstre;1960
Niels Chr Christensen;Venstre;1960
Chr Christiansen;Socialdemokratiet;1960
Lars Clausen (Olufskjær);Det Konservative Folkeparti;1960
E Haunstrup Clemmensen;Det Konservative Folkeparti;1960
Jens Peter Dalsgaard;Venstre;1960
Kresten Damsgaard;Venstre;1960
Ditlev P Ditlevsen;Socialdemokratiet;1960
Edvin Dose;Socialdemokratiet;1960
Wilh Dupont;Socialdemokratiet;1960
Erik Eriksen;Venstre;1960
Holger Eriksen;Socialdemokratiet;1960
Niels Eriksen;Venstre;1960
P E Eriksen;Venstre;1960
Svend Aage Fanger;Det Konservative Folkeparti;1960
Per Federspiel;Venstre;1960
Jens E Foged;Venstre;1960
Aage Fogh;Det Radikale Venstre;1960
Einar Foss;Det Konservative Folkeparti;1960
Simon From;Venstre;1960
Mikael Gam;Uden for partierne;1960
Peter Gorrsen;Socialdemokratiet;1960
Niels Gottschalck-Hansen;Det Konservative Folkeparti;1960
Victor Gram;Socialdemokratiet;1960
Lis Groes;Socialdemokratiet;1960
Axel Grøndahl;De Uafhængige;1960
Andreas Hansen;Socialdemokratiet;1960
Edvin Boye Hansen;Socialdemokratiet;1960
Ejnar Hansen;Venstre;1960
Hans Mose Hansen;De Uafhængige;1960
Holger Hansen;Venstre;1960
Jørgen Peder Hansen;Socialdemokratiet;1960
Lars Johannes Hansen;Venstre;1960
Ove Henry Hansen;Socialdemokratiet;1960
Poul Hansen (Grenå);Socialdemokratiet;1960
Poul Hansen (Kalundborg);Socialdemokratiet;1960
Ralph Lysholt Hansen;Socialdemokratiet;1960
Rasmus Hansen;Socialdemokratiet;1960
Viggo Hauch;Venstre;1960
Marius J Heilesen;Venstre;1960
Niels Hjortnæs;Socialdemokratiet;1960
Gustav Holmberg;Venstre;1960
Svend Horn;Socialdemokratiet;1960
Søren Chr Hougaard;Socialdemokratiet;1960
Hans Hækkerup;Socialdemokratiet;1960
Per Hækkerup;Socialdemokratiet;1960
Erhard Jakobsen;Socialdemokratiet;1960
Frode Jakobsen;Socialdemokratiet;1960
Asger Jensen;Det Konservative Folkeparti;1960
Carl P Jensen;Socialdemokratiet;1960
Edv Jensen;Det Konservative Folkeparti;1960
Egon Jensen;Socialdemokratiet;1960
Erik A Jensen;Socialistisk Folkeparti;1960
Jens Peter Jensen;Det Radikale Venstre;1960
Jørgen Jensen;Det Konservative Folkeparti;1960
Kai Jensen;Socialdemokratiet;1960
Lars P Jensen;Socialdemokratiet;1960
Søren Jensen;Venstre;1960
Søren Lund Jensen;Socialdemokratiet;1960
Jørgen Jørgensen;Det Konservative Folkeparti;1960
Peter Jørgensen;Socialdemokratiet;1960
Viggo Kampmann;Socialdemokratiet;1960
Jacob Kirkegaard;Det Radikale Venstre;1960
Hans R Knudsen;Socialdemokratiet;1960
Poul Thisted Knudsen;Venstre;1960
Aage Knudsen;Socialdemokratiet;1960
