row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id,coalition
Kristian Jensen,-0.010252143323093772,0.1215884273512207,Kristian Jensen,20181_M47_referat,20181,47,"Referat af møde 47 den 17. januar, 2019 kl. 10.00",17-01-2019,332771,2019-01-17T11:12:00Z,2019,Venstre,2015-2019,1198,2019_1,Yes
Kristian Pihl Lorentzen,-1.0511505745709828,0.2582692333290772,Kristian Pihl Lorentzen,20181_M44_referat,20181,44,"Referat af møde 44 den 11. januar, 2019 kl. 10.00",11-01-2019,331938,2019-01-11T11:34:00Z,2019,Venstre,2015-2019,99,2019_1,Yes
Kaare Dybvad,0,0.4264014327112209,Kaare Dybvad,20181_M54_referat,20181,54,"Referat af møde 54 den 30. januar, 2019 kl. 13.00",30-01-2019,334758,2019-01-30T14:48:00Z,2019,Socialdemokratiet,2015-2019,113,2019_1,No
Lars Aslan Rasmussen,-0.898806793536244,0.42843446395042123,Lars Aslan Rasmussen,20181_M42_referat,20181,42,"Referat af møde 42 den 9. januar, 2019 kl. 13.00",09-01-2019,331407,2019-01-09T13:02:00Z,2019,Socialdemokratiet,2015-2019,142,2019_1,No
Lars Løkke Rasmussen,0.5352587106798536,0.15678376716203068,Lars Løkke Rasmussen,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332058,2019-01-15T13:25:00Z,2019,Venstre,2015-2019,265,2019_1,Yes
Lea Wermelin,-0.04760450891161825,0.3222126599024758,Lea Wermelin,20181_M44_referat,20181,44,"Referat af møde 44 den 11. januar, 2019 kl. 10.00",11-01-2019,331882,2019-01-11T10:46:00Z,2019,Socialdemokratiet,2015-2019,226,2019_1,No
Lennart Damsbo-Andersen,0.08405941636803135,0.6381079480712577,Lennart Damsbo-Andersen,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332516,2019-01-15T19:19:00Z,2019,Socialdemokratiet,2015-2019,341,2019_1,No
Louise Schack Elholm,0.5736901366648188,0.61060795134560375,Louise Schack Elholm,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332308,2019-01-15T16:17:00Z,2019,Venstre,2015-2019,357,2019_1,Yes
Mads Fuglede,0.7085873669841188,0.16122097981101205,Mads Fuglede,20181_M47_referat,20181,47,"Referat af møde 47 den 17. januar, 2019 kl. 10.00",17-01-2019,332702,2019-01-17T10:21:00Z,2019,Venstre,2015-2019,229,2019_1,Yes
Magnus Heunicke,-0.00234394724200937,0.2956529348117163,Magnus Heunicke,20181_M50_referat,20181,50,"Referat af møde 50 den 23. januar, 2019 kl. 13.00",23-01-2019,333300,2019-01-23T13:24:00Z,2019,Socialdemokratiet,2015-2019,56,2019_1,No
Marcus Knuth,0.5929853465293657,0.3737538263413917,Marcus Knuth,20181_M44_referat,20181,44,"Referat af møde 44 den 11. januar, 2019 kl. 10.00",11-01-2019,331999,2019-01-11T12:44:00Z,2019,Venstre,2015-2019,927,2019_1,Yes
Mattias Tesfaye,0.7169694698840691,0.11782114121365259,Mattias Tesfaye,20181_M51_referat,20181,51,"Referat af møde 51 den 24. januar, 2019 kl. 10.00",24-01-2019,333666,2019-01-24T15:24:00Z,2019,Socialdemokratiet,2015-2019,753,2019_1,No
Mette Frederiksen,0.3516682196813873,0.21619747303587608,Mette Frederiksen,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332010,2019-01-15T13:03:00Z,2019,Socialdemokratiet,2015-2019,476,2019_1,No
Mette Gjerskov,0.27582709849056497,0.6777102852259835,Mette Gjerskov,20181_M53_referat,20181,53,"Referat af møde 53 den 29. januar, 2019 kl. 13.00",29-01-2019,334191,2019-01-29T13:04:00Z,2019,Socialdemokratiet,2015-2019,133,2019_1,No
Mette Reissmann,0.3663652615884545,0.4353973064905495,Mette Reissmann,20181_M44_referat,20181,44,"Referat af møde 44 den 11. januar, 2019 kl. 10.00",11-01-2019,331995,2019-01-11T12:28:00Z,2019,Socialdemokratiet,2015-2019,1775,2019_1,No
Michael Aastrup Jensen,-0.4084232121274739,0.4216118169440491,Michael Aastrup Jensen,20181_M47_referat,20181,47,"Referat af møde 47 den 17. januar, 2019 kl. 10.00",17-01-2019,332957,2019-01-17T15:16:00Z,2019,Venstre,2015-2019,208,2019_1,Yes
Nick Hækkerup,-0.7034146471350384,0.647565121237688,Nick Hækkerup,20181_M47_referat,20181,47,"Referat af møde 47 den 17. januar, 2019 kl. 10.00",17-01-2019,332956,2019-01-17T15:16:00Z,2019,Socialdemokratiet,2015-2019,253,2019_1,No
Orla Hav,0.529491917157515,0.5710829383067724,Orla Hav,20181_M46_referat,20181,46,"Referat af møde 46 den 16. januar, 2019 kl. 13.00",16-01-2019,332612,2019-01-16T14:02:00Z,2019,Socialdemokratiet,2015-2019,100,2019_1,No
Pernille Rosenkrantz-Theil,0.29098869959244134,0.6064249833994729,Pernille Rosenkrantz-Theil,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332447,2019-01-15T18:15:00Z,2019,Socialdemokratiet,2015-2019,1027,2019_1,No
Pernille Schnoor,1.2082253285752784,0.362116129293166,Pernille Schnoor,20181_M43_referat,20181,43,"Referat af møde 43 den 10. januar, 2019 kl. 10.00",10-01-2019,331533,2019-01-10T10:26:00Z,2019,Socialdemokratiet,2015-2019,437,2019_1,No
Peter Hummelgaard Thomsen,0.2045437801017464,0.12485376049327815,Peter Hummelgaard Thomsen,20181_M47_referat,20181,47,"Referat af møde 47 den 17. januar, 2019 kl. 10.00",17-01-2019,332795,2019-01-17T11:32:00Z,2019,Socialdemokratiet,2015-2019,431,2019_1,No
Peter Juel-Jensen,0.36467744298018,0.9232347920219809,Peter Juel-Jensen,20181_M41_referat,20181,41,"Referat af møde 41 den 8. januar, 2019 kl. 13.00",08-01-2019,331341,2019-01-08T13:13:00Z,2019,Venstre,2015-2019,156,2019_1,Yes
Rasmus Horn Langhoff,0.8393513684904788,0.9769431199964987,Rasmus Horn Langhoff,20181_M49_referat,20181,49,"Referat af møde 49 den 22. januar, 2019 kl. 13.00",22-01-2019,333055,2019-01-22T13:06:00Z,2019,Socialdemokratiet,2015-2019,357,2019_1,No
Simon Kollerup,-1.4818047509222452,0.3855230903676788,Simon Kollerup,20181_M41_referat,20181,41,"Referat af møde 41 den 8. januar, 2019 kl. 13.00",08-01-2019,331355,2019-01-08T13:28:00Z,2019,Socialdemokratiet,2015-2019,559,2019_1,No
Thomas Danielsen,-0.10511456600614894,0.2395617435206237,Thomas Danielsen,20181_M53_referat,20181,53,"Referat af møde 53 den 29. januar, 2019 kl. 13.00",29-01-2019,334445,2019-01-29T16:40:00Z,2019,Venstre,2015-2019,409,2019_1,Yes
Torsten Schack Pedersen,-0.578513152249774,0.5616066268058802,Torsten Schack Pedersen,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332298,2019-01-15T16:09:00Z,2019,Venstre,2015-2019,214,2019_1,Yes
