row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id
Alex Ahrendtsen,0.11741716497471702,0.18436452620882662,Alex Ahrendtsen,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76344,2011-11-16T14:17:00Z,2011,Dansk Folkeparti,2011-2015,111,2011_11
Anders Samuelsen,0,0.254000254000381,Anders Samuelsen,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,79062,2011-11-25T18:01:00Z,2011,Liberal Alliance,2011-2015,52,2011_11
Andreas Steenberg,0.33081273996076327,0.8001370032817562,Andreas Steenberg,20111_M10_referat,20111,10,"Referat af møde 10 den 15. november, 2011 kl. 13.00",15-11-2011,76154,2011-11-15T13:08:00Z,2011,Radikale Venstre,2011-2015,65,2011_11
Ane Halsboe-Larsen,0.4351834724117654,0.5184450134451587,Ane Halsboe-Larsen,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76374,2011-11-16T14:45:00Z,2011,Socialdemokratiet,2011-2015,212,2011_11
Anne Baastrup,-0.04990070878230237,0.1575059868584101,Anne Baastrup,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,76731,2011-11-17T10:14:00Z,2011,Socialistisk Folkeparti,2011-2015,181,2011_11
Annette Vilhelmsen,0.5744289982252018,0.5742597559858247,Annette Vilhelmsen,20111_M10_referat,20111,10,"Referat af møde 10 den 15. november, 2011 kl. 13.00",15-11-2011,76157,2011-11-15T13:09:00Z,2011,Socialistisk Folkeparti,2011-2015,315,2011_11
Anni Matthiesen,0,0.3429971702850177,Anni Matthiesen,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,78622,2011-11-25T12:06:00Z,2011,Venstre,2011-2015,51,2011_11
Benedikte Kiær,-0.45045674662847807,0.4679258988242554,Benedikte Kiær,20111_M13_referat,20111,13,"Referat af møde 13 den 18. november, 2011 kl. 10.00",18-11-2011,77145,2011-11-18T10:23:00Z,2011,Det Konservative Folkeparti,2011-2015,145,2011_11
Benny Engelbrecht,0,0.4264014327112209,Benny Engelbrecht,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,78446,2011-11-25T10:15:00Z,2011,Socialdemokratiet,2011-2015,201,2011_11
Bent Bøgsted,-0.6500854675837829,0.09411096951793753,Bent Bøgsted,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76235,2011-11-16T13:00:00Z,2011,Dansk Folkeparti,2011-2015,103,2011_11
Bertel Haarder,0.8370462405663368,0.36288899376244244,Bertel Haarder,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,77073,2011-11-17T16:14:00Z,2011,Venstre,2011-2015,1416,2011_11
Bjarne Corydon,-0.6009983113628162,0.0871466289606754,Bjarne Corydon,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76450,2011-11-16T15:46:00Z,2011,Socialdemokratiet,2011-2015,221,2011_11
Brian Mikkelsen,0.41226216328313964,0.08900634602694828,Brian Mikkelsen,20111_M10_referat,20111,10,"Referat af møde 10 den 15. november, 2011 kl. 13.00",15-11-2011,76206,2011-11-15T13:47:00Z,2011,Det Konservative Folkeparti,2011-2015,205,2011_11
Camilla Hersom,0,0.4264014327112209,Camilla Hersom,20111_M19_referat,20111,19,"Referat af møde 19 den 29. november, 2011 kl. 13.00",29-11-2011,79424,2011-11-29T13:54:00Z,2011,Radikale Venstre,2011-2015,354,2011_11
Christian Juhl,0.8716467006939541,0.22071750979965968,Christian Juhl,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76218,2011-11-16T13:00:00Z,2011,Enhedslisten,2011-2015,74,2011_11
Christian Langballe,-0.2992761103838899,0.17272386981159837,Christian Langballe,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76222,2011-11-16T13:00:00Z,2011,Dansk Folkeparti,2011-2015,55,2011_11
Claus Hjort Frederiksen,0.78926779470951125,0.4077022877019419,Claus Hjort Frederiksen,20111_M16_referat,20111,16,"Referat af møde 16 den 23. november, 2011 kl. 13.00",23-11-2011,77481,2011-11-23T13:00:00Z,2011,Venstre,2011-2015,102,2011_11
Dennis Flydtkjær,0.29337100361495766,0.10008225699092564,Dennis Flydtkjær,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,76727,2011-11-17T10:08:00Z,2011,Dansk Folkeparti,2011-2015,534,2011_11
Eigil Andersen,0,0.282842712474619,Eigil Andersen,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,79040,2011-11-25T17:44:00Z,2011,Socialistisk Folkeparti,2011-2015,120,2011_11
Ellen Trane Nørby,-2.5613196432917005,0.7654451908930023,Ellen Trane Nørby,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76228,2011-11-16T13:00:00Z,2011,Venstre,2011-2015,129,2011_11
Erling Bonnesen,-0.32798285901968993,0.3149125970012138,Erling Bonnesen,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76231,2011-11-16T13:00:00Z,2011,Venstre,2011-2015,58,2011_11
Esben Lunde Larsen,-0.3293255968320439,0.33683292612337995,Esben Lunde Larsen,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76230,2011-11-16T13:00:00Z,2011,Venstre,2011-2015,81,2011_11
Eyvind Vesselbo,0,0.3429971702850177,Eyvind Vesselbo,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,78592,2011-11-25T11:48:00Z,2011,Venstre,2011-2015,237,2011_11
Fatma Øktem,-0.5727334907783073,0.3668982596501468,Fatma Øktem,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76236,2011-11-16T13:00:00Z,2011,Venstre,2011-2015,66,2011_11
Finn Sørensen,-0.5273534358369051,0.1583673912714536,Finn Sørensen,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,77081,2011-11-17T16:55:00Z,2011,Enhedslisten,2011-2015,1304,2011_11
Flemming Damgaard Larsen,0.012001996751476146,0.2598324524835728,Flemming Damgaard Larsen,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76217,2011-11-16T13:00:00Z,2011,Venstre,2011-2015,62,2011_11
Flemming Møller Mortensen,0,0.816496580927726,Flemming Møller Mortensen,20111_M19_referat,20111,19,"Referat af møde 19 den 29. november, 2011 kl. 13.00",29-11-2011,79360,2011-11-29T13:05:00Z,2011,Socialdemokratiet,2011-2015,170,2011_11
Frank Aaen,0.00599873492870856,0.12905918899685148,Frank Aaen,20111_M17_referat,20111,17,"Referat af møde 17 den 24. november, 2011 kl. 10.00",24-11-2011,78216,2011-11-24T13:38:00Z,2011,Enhedslisten,2011-2015,228,2011_11
Gitte Lillelund Bech,0.6660403545813338,0.18091037083790967,Gitte Lillelund Bech,20111_M16_referat,20111,16,"Referat af møde 16 den 23. november, 2011 kl. 13.00",23-11-2011,77503,2011-11-23T13:00:00Z,2011,Venstre,2011-2015,81,2011_11
Hans Andersen,0,0.7071067811865476,Hans Andersen,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,78552,2011-11-25T11:26:00Z,2011,Venstre,2011-2015,119,2011_11
Hans Christian Schmidt,0,0.5,Hans Christian Schmidt,20111_M20_referat,20111,20,"Referat af møde 20 den 30. november, 2011 kl. 13.00",30-11-2011,80243,2011-11-30T13:00:00Z,2011,Venstre,2011-2015,95,2011_11
Hans Kristian Skibby,-0.9441084375702041,0.246221953538291,Hans Kristian Skibby,20111_M10_referat,20111,10,"Referat af møde 10 den 15. november, 2011 kl. 13.00",15-11-2011,76152,2011-11-15T13:05:00Z,2011,Dansk Folkeparti,2011-2015,445,2011_11
Helle Thorning-Schmidt,0.21359363787019142,0.11272128869444281,Helle Thorning-Schmidt,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76240,2011-11-16T13:03:00Z,2011,Socialdemokratiet,2011-2015,470,2011_11
Henning Hyllested,0,0.30151134457776363,Henning Hyllested,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,78526,2011-11-25T11:07:00Z,2011,Enhedslisten,2011-2015,167,2011_11
Henrik Høegh,-0.2481334521551578,0.5259854606005107,Henrik Høegh,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76653,2011-11-16T18:08:00Z,2011,Venstre,2011-2015,138,2011_11
Inger Støjberg,-0.4049526539130517,0.1882548138694012,Inger Støjberg,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76416,2011-11-16T15:08:00Z,2011,Venstre,2011-2015,255,2011_11
Jacob Bjerregaard,0.3123378220610452,0.4429856694909368,Jacob Bjerregaard,20111_M17_referat,20111,17,"Referat af møde 17 den 24. november, 2011 kl. 10.00",24-11-2011,78387,2011-11-24T15:36:00Z,2011,Socialdemokratiet,2011-2015,54,2011_11
Jacob Jensen,-0.2961028735835299,0.20576831099122783,Jacob Jensen,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76216,2011-11-16T13:00:00Z,2011,Venstre,2011-2015,89,2011_11
Jakob Ellemann-Jensen,-0.7635000675752662,0.1703540440515674,Jakob Ellemann-Jensen,20111_M15_referat,20111,15,"Referat af møde 15 den 22. november, 2011 kl. 13.00",22-11-2011,77283,2011-11-22T14:38:00Z,2011,Venstre,2011-2015,746,2011_11
Jan Johansen,-2.944199922990867,1.521896697707879,Jan Johansen,20111_M17_referat,20111,17,"Referat af møde 17 den 24. november, 2011 kl. 10.00",24-11-2011,78030,2011-11-24T10:25:00Z,2011,Socialdemokratiet,2011-2015,272,2011_11
Jane Heitmann,1.6033005859817888,1.087560700508915,Jane Heitmann,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76233,2011-11-16T13:00:00Z,2011,Venstre,2011-2015,119,2011_11
Jens Henrik Thulesen Dahl,0.26643560456877535,0.16636031837920462,Jens Henrik Thulesen Dahl,20111_M15_referat,20111,15,"Referat af møde 15 den 22. november, 2011 kl. 13.00",22-11-2011,77233,2011-11-22T13:36:00Z,2011,Dansk Folkeparti,2011-2015,433,2011_11
Jens Joel,-0.8542811286238914,0.20825718958569386,Jens Joel,20111_M13_referat,20111,13,"Referat af møde 13 den 18. november, 2011 kl. 10.00",18-11-2011,77183,2011-11-18T11:14:00Z,2011,Socialdemokratiet,2011-2015,610,2011_11
Jeppe Mikkelsen,0.8721969120528994,0.36369835051945265,Jeppe Mikkelsen,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,76729,2011-11-17T10:11:00Z,2011,Radikale Venstre,2011-2015,608,2011_11
Jesper Petersen,0,0.5773502691896257,Jesper Petersen,20111_M9_referat,20111,9,"Referat af møde 9 den 10. november, 2011 kl. 10.00",10-11-2011,75415,2011-11-10T10:46:00Z,2011,Socialistisk Folkeparti,2011-2015,194,2011_11
John Dyrby Paulsen,-0.3902181193795759,0.05422805921312664,John Dyrby Paulsen,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,76919,2011-11-17T13:55:00Z,2011,Socialdemokratiet,2011-2015,179,2011_11
Jonas Dahl,0.24499697145767263,0.0543730937795718,Jonas Dahl,20111_M15_referat,20111,15,"Referat af møde 15 den 22. november, 2011 kl. 13.00",22-11-2011,77237,2011-11-22T13:41:00Z,2011,Socialistisk Folkeparti,2011-2015,413,2011_11
Jørgen Arbo-Bæhr,0,0.408248290463863,Jørgen Arbo-Bæhr,20111_M18_referat,20111,18,"Referat af møde 18 den 25. november, 2011 kl. 10.00",25-11-2011,78498,2011-11-25T10:50:00Z,2011,Enhedslisten,2011-2015,131,2011_11
Jørn Dohrmann,0.758732821014139,0.3381026485518454,Jørn Dohrmann,20111_M13_referat,20111,13,"Referat af møde 13 den 18. november, 2011 kl. 10.00",18-11-2011,77129,2011-11-18T10:04:00Z,2011,Dansk Folkeparti,2011-2015,676,2011_11
Karen Ellemann,0.8336722085609155,0.34224457967743055,Karen Ellemann,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,77095,2011-11-17T17:47:00Z,2011,Venstre,2011-2015,151,2011_11
Karin Gaardsted,1.3310847793290963,0.7845146379949105,Karin Gaardsted,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,77075,2011-11-17T16:25:00Z,2011,Socialdemokratiet,2011-2015,1336,2011_11
Karin Nødgaard,-1.210305613065265,0.6180646332334474,Karin Nødgaard,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76226,2011-11-16T13:00:00Z,2011,Dansk Folkeparti,2011-2015,83,2011_11
Karina Adsbøl,0.046297116621287146,0.23754354741608996,Karina Adsbøl,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76395,2011-11-16T14:56:00Z,2011,Dansk Folkeparti,2011-2015,101,2011_11
Karsten Lauritzen,-0.52184034978641,0.11992907767286566,Karsten Lauritzen,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,76741,2011-11-17T10:29:00Z,2011,Venstre,2011-2015,768,2011_11
Kim Andersen,0.3901843128133374,0.45575123939648465,Kim Andersen,20111_M10_referat,20111,10,"Referat af møde 10 den 15. november, 2011 kl. 13.00",15-11-2011,76148,2011-11-15T13:01:00Z,2011,Venstre,2011-2015,117,2011_11
Kim Christiansen,-0.26043552217235805,0.4500141539475504,Kim Christiansen,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76221,2011-11-16T13:00:00Z,2011,Dansk Folkeparti,2011-2015,95,2011_11
Kirsten Brosbøl,0.21111553463610827,0.21484812433122732,Kirsten Brosbøl,20111_M15_referat,20111,15,"Referat af møde 15 den 22. november, 2011 kl. 13.00",22-11-2011,77231,2011-11-22T13:33:00Z,2011,Socialdemokratiet,2011-2015,380,2011_11
Kristian Jensen,-0.6007428811281321,0.13237656018461905,Kristian Jensen,20111_M12_referat,20111,12,"Referat af møde 12 den 17. november, 2011 kl. 10.00",17-11-2011,76890,2011-11-17T13:33:00Z,2011,Venstre,2011-2015,102,2011_11
Kristian Pihl Lorentzen,0,0.7071067811865476,Kristian Pihl Lorentzen,20111_M8_referat,20111,8,"Referat af møde 8 den 9. november, 2011 kl. 13.00",09-11-2011,74907,2011-11-09T13:22:00Z,2011,Venstre,2011-2015,396,2011_11
Kristian Thulesen Dahl,-0.5777937126618821,0.07449710366586487,Kristian Thulesen Dahl,20111_M11_referat,20111,11,"Referat af møde 11 den 16. november, 2011 kl. 13.00",16-11-2011,76220,2011-11-16T13:00:00Z,2011,Dansk Folkeparti,2011-2015,58,2011_11
