row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id
Alex Ahrendtsen,-0.4475924903157239,0.5354653897342118,Alex Ahrendtsen,20141_M45_referat,20141,45,"Referat af møde 45 den 21. januar, 2015 kl. 13.00",21-01-2015,180882,2015-01-21T16:01:00Z,2015,Dansk Folkeparti,2011-2015,98,2015_1
Anders Samuelsen,0,0.6324555320336759,Anders Samuelsen,20141_M40_referat,20141,40,"Referat af møde 40 den 13. januar, 2015 kl. 13.00",13-01-2015,179409,2015-01-13T13:55:00Z,2015,Liberal Alliance,2011-2015,569,2015_1
Ane Halsboe-Jørgensen,0.7471227696614776,0.40731895133114865,Ane Halsboe-Jørgensen,20141_M42_referat,20141,42,"Referat af møde 42 den 15. januar, 2015 kl. 10.00",15-01-2015,179827,2015-01-15T11:11:00Z,2015,Socialdemokratiet,2011-2015,487,2015_1
Anne-Mette Winther Christiansen,-0.10966775766024653,0.6296325313565224,Anne-Mette Winther Christiansen,20141_M50_referat,20141,50,"Referat af møde 50 den 29. januar, 2015 kl. 10.00",29-01-2015,182197,2015-01-29T10:13:00Z,2015,Venstre,2011-2015,157,2015_1
Annette Vilhelmsen,0.535821620603423,0.2525243220432326,Annette Vilhelmsen,20141_M42_referat,20141,42,"Referat af møde 42 den 15. januar, 2015 kl. 10.00",15-01-2015,179920,2015-01-15T13:36:00Z,2015,Socialistisk Folkeparti,2011-2015,223,2015_1
Anni Matthiesen,0.5620179926857436,0.2789467293134773,Anni Matthiesen,20141_M41_referat,20141,41,"Referat af møde 41 den 14. januar, 2015 kl. 13.00",14-01-2015,179686,2015-01-14T15:11:00Z,2015,Venstre,2011-2015,103,2015_1
Astrid Krag,-0.46651053330357967,0.6017584998777759,Astrid Krag,20141_M43_referat,20141,43,"Referat af møde 43 den 16. januar, 2015 kl. 10.00",16-01-2015,180373,2015-01-16T12:47:00Z,2015,Socialdemokratiet,2011-2015,506,2015_1
Benny Engelbrecht,-0.30943906203507177,0.2006323399850812,Benny Engelbrecht,20141_M41_referat,20141,41,"Referat af møde 41 den 14. januar, 2015 kl. 13.00",14-01-2015,179727,2015-01-14T15:41:00Z,2015,Socialdemokratiet,2011-2015,236,2015_1
Bent Bøgsted,-1.2002845717148671,0.3724301788015796,Bent Bøgsted,20141_M40_referat,20141,40,"Referat af møde 40 den 13. januar, 2015 kl. 13.00",13-01-2015,179523,2015-01-13T15:33:00Z,2015,Dansk Folkeparti,2011-2015,846,2015_1
Bertel Haarder,-0.4315636092524585,0.3431651726640073,Bertel Haarder,20141_M42_referat,20141,42,"Referat af møde 42 den 15. januar, 2015 kl. 10.00",15-01-2015,179743,2015-01-15T10:00:00Z,2015,Venstre,2011-2015,68,2015_1
