row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id
Anders Samuelsen,0.11857691006751145,0.2288435812699509,Anders Samuelsen,20091_M20_referat,20091,20,"Referat af møde 20 den 24. november, 2009 kl. 13.00",24-11-2009,6282,2009-11-24T13:24:00Z,2009,Ny Alliance,2007-2011,367,2009_11
Anita Knakkergaard,0,0.3651483716701107,Anita Knakkergaard,20091_M12_referat,20091,12,"Referat af møde 12 den 5. november, 2009 kl. 10.00",05-11-2009,3337,2009-11-05T13:41:00Z,2009,Dansk Folkeparti,2007-2011,522,2009_11
Anne Baastrup,0,0.7071067811865476,Anne Baastrup,20091_M14_referat,20091,14,"Referat af møde 14 den 10. november, 2009 kl. 13.00",10-11-2009,4139,2009-11-10T15:01:00Z,2009,Socialistisk Folkeparti,2007-2011,943,2009_11
Anne Grete Holmsgaard,-0.17962628268587505,0.17056175474433166,Anne Grete Holmsgaard,20091_M13_referat,20091,13,"Referat af møde 13 den 6. november, 2009 kl. 10.00",06-11-2009,3772,2009-11-06T11:35:00Z,2009,Socialistisk Folkeparti,2007-2011,73,2009_11
Anne-Mette Winther Christiansen,-0.39607061889526163,0.16483419994718573,Anne-Mette Winther Christiansen,20091_M10_referat,20091,10,"Referat af møde 10 den 3. november, 2009 kl. 13.00",03-11-2009,2692,2009-11-03T16:47:00Z,2009,Venstre,2007-2011,164,2009_11
Benny Engelbrecht,-0.5565191041966986,0.1525681807241174,Benny Engelbrecht,20091_M17_referat,20091,17,"Referat af møde 17 den 18. november, 2009 kl. 13.00",18-11-2009,5437,2009-11-18T14:54:00Z,2009,Socialdemokratiet,2007-2011,132,2009_11
Bent Bøgsted,0,0.2041241452319315,Bent Bøgsted,20091_M18_referat,20091,18,"Referat af møde 18 den 19. november, 2009 kl. 10.00",19-11-2009,5813,2009-11-19T17:03:00Z,2009,Dansk Folkeparti,2007-2011,586,2009_11
Bente Dahl,-0.8582114554501565,0.34913237144662956,Bente Dahl,20091_M18_referat,20091,18,"Referat af møde 18 den 19. november, 2009 kl. 10.00",19-11-2009,5698,2009-11-19T14:50:00Z,2009,Det Radikale Venstre,2007-2011,167,2009_11
Bertel Haarder,-0.2897764686374118,0.12924681358527113,Bertel Haarder,20091_M20_referat,20091,20,"Referat af møde 20 den 24. november, 2009 kl. 13.00",24-11-2009,6650,2009-11-24T20:05:00Z,2009,Venstre,2007-2011,190,2009_11
Birgitte Josefsen,0,0.7071067811865476,Birgitte Josefsen,20091_M18_referat,20091,18,"Referat af møde 18 den 19. november, 2009 kl. 10.00",19-11-2009,5686,2009-11-19T14:31:00Z,2009,Venstre,2007-2011,218,2009_11
Bjarne Laustsen,0.22465529094536918,0.07454756782204823,Bjarne Laustsen,20091_M18_referat,20091,18,"Referat af møde 18 den 19. november, 2009 kl. 10.00",19-11-2009,5953,2009-11-19T18:51:00Z,2009,Socialdemokratiet,2007-2011,958,2009_11
Brian Mikkelsen,0,0.2,Brian Mikkelsen,20091_M19_referat,20091,19,"Referat af møde 19 den 20. november, 2009 kl. 10.00",20-11-2009,6016,2009-11-20T10:03:00Z,2009,Det Konservative Folkeparti,2007-2011,1194,2009_11
Carsten Hansen,-0.38809709141798515,0.13987924015335598,Carsten Hansen,20091_M12_referat,20091,12,"Referat af møde 12 den 5. november, 2009 kl. 10.00",05-11-2009,3378,2009-11-05T14:44:00Z,2009,Socialdemokratiet,2007-2011,690,2009_11
Charlotte Dyremose,-0.24300776402868335,0.293582040512498,Charlotte Dyremose,20091_M12_referat,20091,12,"Referat af møde 12 den 5. november, 2009 kl. 10.00",05-11-2009,3385,2009-11-05T14:56:00Z,2009,Det Konservative Folkeparti,2007-2011,375,2009_11
Christine Antorini,-0.38987138563385376,0.1716940955892517,Christine Antorini,20091_M15_referat,20091,15,"Referat af møde 15 den 11. november, 2009 kl. 13.00",11-11-2009,4484,2009-11-11T15:29:00Z,2009,Socialdemokratiet,2007-2011,178,2009_11
Claus Hjort Frederiksen,0.0978429601636116,0.16387636150799792,Claus Hjort Frederiksen,20091_M17_referat,20091,17,"Referat af møde 17 den 18. november, 2009 kl. 13.00",18-11-2009,5376,2009-11-18T14:06:00Z,2009,Venstre,2007-2011,170,2009_11
