From,To,overlaps.OV,Month
Venstre,Fremskridtspartiet,0.6881507839361916,1990-11-01
Venstre,Socialistisk Folkeparti,0.5565504686085363,1990-11-01
Venstre,Radikale Venstre,0.5942103573375452,1990-11-01
Venstre,Det Konservative Folkeparti,0.6185475506648804,1990-11-01
Venstre,Socialdemokratiet,0.7139535107399307,1990-11-01
Venstre,Centrum,0.6972082407077667,1990-11-01
Venstre,Kristeligt Folkeparti,0.5732099839158562,1990-11-01
Socialdemokratiet,Fremskridtspartiet,0.7945433289247072,1990-11-01
Socialdemokratiet,Socialistisk Folkeparti,0.682789126824676,1990-11-01
Socialdemokratiet,Radikale Venstre,0.7333423024874549,1990-11-01
Socialdemokratiet,Det Konservative Folkeparti,0.77321387102246,1990-11-01
Socialdemokratiet,Venstre,0.7139535107399307,1990-11-01
Socialdemokratiet,Centrum,0.7741407962666967,1990-11-01
Socialdemokratiet,Kristeligt Folkeparti,0.747396321617315,1990-11-01
Kristeligt Folkeparti,Fremskridtspartiet,0.7303079684271305,1990-11-01
Kristeligt Folkeparti,Socialistisk Folkeparti,0.6374987777620927,1990-11-01
Kristeligt Folkeparti,Radikale Venstre,0.6998375507707721,1990-11-01
Kristeligt Folkeparti,Det Konservative Folkeparti,0.6091223787132792,1990-11-01
Kristeligt Folkeparti,Venstre,0.5732099839158562,1990-11-01
Kristeligt Folkeparti,Socialdemokratiet,0.747396321617315,1990-11-01
Venstre,Centrum,0.0961417826383333,1990-12-01
Venstre,Socialistisk Folkeparti,0.1289349320107779,1990-12-01
Venstre,Det Konservative Folkeparti,0.14132942019743147,1990-12-01
Venstre,Kristeligt Folkeparti,0.018409973654229837,1990-12-01
Venstre,Radikale Venstre,0.06262999211200883,1990-12-01
Venstre,Socialdemokratiet,0.17762814910822441,1990-12-01
Socialistisk Folkeparti,Venstre,0.1289349320107779,1990-12-01
Socialistisk Folkeparti,Det Konservative Folkeparti,0.7828824836969953,1990-12-01
Socialistisk Folkeparti,Kristeligt Folkeparti,0.24638921552250403,1990-12-01
Socialistisk Folkeparti,Radikale Venstre,0.27192894504150816,1990-12-01
Socialistisk Folkeparti,Socialdemokratiet,0.7030708523345989,1990-12-01
Det Konservative Folkeparti,Venstre,0.14132942019743147,1990-12-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.7828824836969953,1990-12-01
Det Konservative Folkeparti,Kristeligt Folkeparti,0.30190006619262005,1990-12-01
Det Konservative Folkeparti,Radikale Venstre,0.3254576123825607,1990-12-01
Det Konservative Folkeparti,Socialdemokratiet,0.8235627409499191,1990-12-01
Kristeligt Folkeparti,Venstre,0.018409973654229837,1990-12-01
Kristeligt Folkeparti,Socialistisk Folkeparti,0.24638921552250403,1990-12-01
Kristeligt Folkeparti,Det Konservative Folkeparti,0.30190006619262005,1990-12-01
Kristeligt Folkeparti,Radikale Venstre,0.6257659735464766,1990-12-01
Kristeligt Folkeparti,Socialdemokratiet,0.28314925537457364,1990-12-01
Radikale Venstre,Venstre,0.06262999211200883,1990-12-01
Radikale Venstre,Socialistisk Folkeparti,0.27192894504150816,1990-12-01
Radikale Venstre,Det Konservative Folkeparti,0.3254576123825607,1990-12-01
Radikale Venstre,Kristeligt Folkeparti,0.6257659735464766,1990-12-01
Radikale Venstre,Socialdemokratiet,0.3243400342961318,1990-12-01
Socialdemokratiet,Venstre,0.17762814910822441,1990-12-01
Socialdemokratiet,Socialistisk Folkeparti,0.7030708523345989,1990-12-01
Socialdemokratiet,Det Konservative Folkeparti,0.8235627409499191,1990-12-01
Socialdemokratiet,Kristeligt Folkeparti,0.28314925537457364,1990-12-01
Socialdemokratiet,Radikale Venstre,0.3243400342961318,1990-12-01
Det Konservative Folkeparti,Venstre,0.7939517604704192,1991-01-01
Det Konservative Folkeparti,Socialdemokratiet,0.5720890434340152,1991-01-01
Det Konservative Folkeparti,Fremskridtspartiet,0.5960518269206992,1991-01-01
Det Konservative Folkeparti,Centrum,0.4975524240434053,1991-01-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.7718034313987265,1991-01-01
Det Konservative Folkeparti,Radikale Venstre,0.6732843436491157,1991-01-01
Det Konservative Folkeparti,Kristeligt Folkeparti,0.7079969608136522,1991-01-01
Venstre,Det Konservative Folkeparti,0.7939517604704192,1991-01-01
Venstre,Socialdemokratiet,0.5532341534022114,1991-01-01
Venstre,Fremskridtspartiet,0.6562458728004911,1991-01-01
Venstre,Centrum,0.412275374334628,1991-01-01
Venstre,Socialistisk Folkeparti,0.8674872933442429,1991-01-01
Venstre,Radikale Venstre,0.5904752498924981,1991-01-01
Venstre,Kristeligt Folkeparti,0.7150794294757343,1991-01-01
Socialdemokratiet,Det Konservative Folkeparti,0.5720890434340152,1991-01-01
Socialdemokratiet,Venstre,0.5532341534022114,1991-01-01
Socialdemokratiet,Fremskridtspartiet,0.4101871541860543,1991-01-01
Socialdemokratiet,Centrum,0.5085076044725435,1991-01-01
Socialdemokratiet,Socialistisk Folkeparti,0.5555214795387176,1991-01-01
Socialdemokratiet,Radikale Venstre,0.60594115590063,1991-01-01
Socialdemokratiet,Kristeligt Folkeparti,0.4784697401654203,1991-01-01
Fremskridtspartiet,Det Konservative Folkeparti,0.5960518269206992,1991-01-01
Fremskridtspartiet,Venstre,0.6562458728004911,1991-01-01
Fremskridtspartiet,Socialdemokratiet,0.4101871541860543,1991-01-01
Fremskridtspartiet,Centrum,0.34701057797571094,1991-01-01
Fremskridtspartiet,Socialistisk Folkeparti,0.6579950197196242,1991-01-01
Fremskridtspartiet,Radikale Venstre,0.43628857193009374,1991-01-01
Fremskridtspartiet,Kristeligt Folkeparti,0.7291586276627955,1991-01-01
Socialistisk Folkeparti,Det Konservative Folkeparti,0.7718034313987265,1991-01-01
Socialistisk Folkeparti,Venstre,0.8674872933442429,1991-01-01
Socialistisk Folkeparti,Socialdemokratiet,0.5555214795387176,1991-01-01
Socialistisk Folkeparti,Fremskridtspartiet,0.6579950197196242,1991-01-01
Socialistisk Folkeparti,Radikale Venstre,0.608082846631777,1991-01-01
Socialistisk Folkeparti,Kristeligt Folkeparti,0.7682008536398569,1991-01-01
Radikale Venstre,Det Konservative Folkeparti,0.6732843436491157,1991-01-01
Radikale Venstre,Venstre,0.5904752498924981,1991-01-01
Radikale Venstre,Socialdemokratiet,0.60594115590063,1991-01-01
Radikale Venstre,Fremskridtspartiet,0.43628857193009374,1991-01-01
Radikale Venstre,Socialistisk Folkeparti,0.608082846631777,1991-01-01
Radikale Venstre,Kristeligt Folkeparti,0.5825368414307978,1991-01-01
Kristeligt Folkeparti,Det Konservative Folkeparti,0.7079969608136522,1991-01-01
Kristeligt Folkeparti,Venstre,0.7150794294757343,1991-01-01
Kristeligt Folkeparti,Socialdemokratiet,0.4784697401654203,1991-01-01
Kristeligt Folkeparti,Fremskridtspartiet,0.7291586276627955,1991-01-01
Kristeligt Folkeparti,Socialistisk Folkeparti,0.7682008536398569,1991-01-01
Kristeligt Folkeparti,Radikale Venstre,0.5825368414307978,1991-01-01
Fremskridtspartiet,Det Konservative Folkeparti,0.6797947766773813,1991-02-01
Fremskridtspartiet,Venstre,0.638099237476169,1991-02-01
Fremskridtspartiet,Socialdemokratiet,0.5715670619709102,1991-02-01
Fremskridtspartiet,Centrum,0.7118198411217409,1991-02-01
Fremskridtspartiet,Socialistisk Folkeparti,0.5921412164903869,1991-02-01
Fremskridtspartiet,Radikale Venstre,0.6959201393609546,1991-02-01
Fremskridtspartiet,Kristeligt Folkeparti,0.4530928312244818,1991-02-01
Det Konservative Folkeparti,Fremskridtspartiet,0.6797947766773813,1991-02-01
Det Konservative Folkeparti,Venstre,0.78066330413079,1991-02-01
