Parti,Month,overlap_score,difference_score,mean_theta,sd_theta,Inclusion,Differentiation,Lag_inclusion,Lag_differentiation,coalition
Alternativet,2015-10-01,0.7483653976207448,0.25163460237925517,-0.15351135384076883,0.42196839156105265,0.42196839156105265,0.25163460237925517,0,0.024347570387720136,No
Alternativet,2015-11-01,0.8248673367433008,0.1751326632566992,-0.08442175445937929,0.5786967723271883,0.5786967723271883,0.1751326632566992,0.42196839156105265,0.25163460237925517,No
Alternativet,2015-12-01,0.5194647125231585,0.48053528747684154,0.25113718511373173,0.3415914505174021,0.3415914505174021,0.48053528747684154,0.5786967723271883,0.1751326632566992,No
Alternativet,2016-01-01,0.779799910286976,0.220200089713024,0.016004967218969764,0.5586837904427606,0.5586837904427606,0.220200089713024,0.3415914505174021,0.48053528747684154,No
Alternativet,2016-02-01,0.8258044208427701,0.1741955791572299,-0.002285878937711261,0.6953945368382689,0.6953945368382689,0.1741955791572299,0.5586837904427606,0.220200089713024,No
Alternativet,2016-03-01,0.8466822264120802,0.1533177735879198,-0.04462322334785309,0.49944032964267054,0.49944032964267054,0.1533177735879198,0.6953945368382689,0.1741955791572299,No
Alternativet,2016-04-01,0.7796083816843291,0.22039161831567092,0.19636623846333673,0.7430361900591114,0.7430361900591114,0.22039161831567092,0.49944032964267054,0.1533177735879198,No
Alternativet,2016-05-01,0.7022823712271271,0.2977176287728729,-0.06391234736426517,0.43694101572787386,0.43694101572787386,0.2977176287728729,0.7430361900591114,0.22039161831567092,No
Alternativet,2016-06-01,0.5644827506200086,0.43551724937999137,-0.09667714033618093,0.49681743439981907,0.49681743439981907,0.43551724937999137,0.43694101572787386,0.2977176287728729,No
Alternativet,2016-09-01,0.24714255845720992,0.7528574415427901,-0.12069097125886796,0.06258012689421774,0.06258012689421774,0.7528574415427901,0.49681743439981907,0.43551724937999137,No
Alternativet,2016-10-01,0.6312724926736282,0.3687275073263719,-0.35037449790537045,0.6862186811215438,0.6862186811215438,0.3687275073263719,0.06258012689421774,0.7528574415427901,No
Alternativet,2016-11-01,0.7330810442734478,0.2669189557265523,0.1942819905896213,0.5536803103436022,0.5536803103436022,0.2669189557265523,0.6862186811215438,0.3687275073263719,No
Alternativet,2016-12-01,0.7388410413887818,0.2611589586112182,-0.06136593909632892,0.6490402499621369,0.6490402499621369,0.2611589586112182,0.5536803103436022,0.2669189557265523,No
Alternativet,2017-01-01,0.8074872468155508,0.19251275318444916,-0.09877844505988667,0.5013538698306472,0.5013538698306472,0.19251275318444916,0.6490402499621369,0.2611589586112182,No
Alternativet,2017-02-01,0.7067698532995377,0.29323014670046227,-0.23330700200459498,0.4517120466044253,0.4517120466044253,0.29323014670046227,0.5013538698306472,0.19251275318444916,No
Alternativet,2017-03-01,0.7717696955958943,0.22823030440410574,0.18308782125916373,0.6621130761126408,0.6621130761126408,0.22823030440410574,0.4517120466044253,0.29323014670046227,No
Alternativet,2017-04-01,0.7856724164594586,0.21432758354054138,0.060705369943264045,0.5383972529092311,0.5383972529092311,0.21432758354054138,0.6621130761126408,0.22823030440410574,No
Alternativet,2017-05-01,0.5235151560964851,0.47648484390351487,-0.040767095855652496,0.25572776438637324,0.25572776438637324,0.47648484390351487,0.5383972529092311,0.21432758354054138,No
Alternativet,2017-06-01,0.40143430095263843,0.5985656990473616,-0.2264884544453461,0.2761507545254031,0.2761507545254031,0.5985656990473616,0.25572776438637324,0.47648484390351487,No
Alternativet,2017-09-01,0.11587864172892144,0.8841213582710785,0.021633736118040422,0.019249399321468814,0.019249399321468814,0.8841213582710785,0.2761507545254031,0.5985656990473616,No
Alternativet,2017-10-01,0.7617331446636157,0.23826685533638425,-0.01501797825521587,0.6236705433771347,0.6236705433771347,0.23826685533638425,0.019249399321468814,0.8841213582710785,No
Alternativet,2017-11-01,0.8226570231072263,0.17734297689277367,0.07905269158562463,0.5473586359648439,0.5473586359648439,0.17734297689277367,0.6236705433771347,0.23826685533638425,No
Alternativet,2017-12-01,0.6315279020105943,0.36847209798940567,-0.1118253891948596,0.5779857641819204,0.5779857641819204,0.36847209798940567,0.5473586359648439,0.17734297689277367,No
Alternativet,2018-01-01,0.640639911100401,0.35936008889959903,-0.2725663304676706,0.4627663297993686,0.4627663297993686,0.35936008889959903,0.5779857641819204,0.36847209798940567,No
Alternativet,2018-02-01,0.6038868796571579,0.396113120342842,-0.1619264928166511,0.3725726570388077,0.3725726570388077,0.396113120342842,0.4627663297993686,0.35936008889959903,No
Alternativet,2018-03-01,0.5509211540907091,0.44907884590929087,-0.17564969244722753,0.5906096757027551,0.5906096757027551,0.44907884590929087,0.3725726570388077,0.396113120342842,No
Alternativet,2018-04-01,0.7412718013320289,0.25872819866797114,-0.05530753670516388,0.8975825450352185,0.8975825450352185,0.25872819866797114,0.5906096757027551,0.44907884590929087,No
Alternativet,2018-05-01,0.8085056933508464,0.19149430664915354,0.00686863285747907,0.3957764839381085,0.3957764839381085,0.19149430664915354,0.8975825450352185,0.25872819866797114,No
Alternativet,2018-09-01,0.6063316787245853,0.3936683212754148,-0.07404742954635471,0.2612309150073094,0.2612309150073094,0.3936683212754148,0.3957764839381085,0.19149430664915354,No
Alternativet,2018-10-01,0.7211733727860273,0.2788266272139727,0.20915505211158691,0.32735596391015803,0.32735596391015803,0.2788266272139727,0.2612309150073094,0.3936683212754148,No
Alternativet,2018-11-01,0.8244486131875626,0.17555138681243745,-0.1026817742656903,0.6157431913800231,0.6157431913800231,0.17555138681243745,0.32735596391015803,0.2788266272139727,No
